"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2009","2026","2","Enlisted Personnel Pay and Allowances","0603772A","Personnel Pay and Allowances that can be sourced with an asset from Subsistence of Enlisted","349.446","424,189","09","09","Funds are needed to ensure that the Army can pay active duty soldiers as required by statute. Further analysis of the execution by budget activity reveals shortfalls for Enlisted Personnel Pay and Allowances that can be sourced with an asset from Subsistence of Enlisted Personnel within the Military Personnel, Army appropriation. This shortfall is associated with rate changes, fact-of-life adjustments, and accelerated end strength growth in the Active Component to the objective level of 547,400.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","","2009","2026","1","Operating Forces","0101221N","Yes
","182,925","09","09","85,725","Funding is required to finance civilian pay shortfalls due to the requirement to provide Targeted Local Market Supplement (TLMS) pay to intelligence personnel at the Joint Interagency Task Force (JIATF) West for employees stationed outside of the United States who are eligible for this payment upon conversion to Defense Civilian Intelligence Personnel System in November 2008. This is a MIP project.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2009","2026","2","Pay and Allowances of Enlisted Personnel","0603430F","Yes
","834","779","645,896","09","Funds are required to support additional workyears associated with end strength growth affecting base pay, retired pay accrual and social security.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","","2009","2026","","","0602383E","Office of the Secretary of Defense","668,355","09","09","34,080","Funds are required for the following programs: o $2.3 million is required to enable the Office of the Secretary of Defense (Program Analysis and Evaluation) to fund maintenance and operational support for Information Technology (IT) systems, software, and databases used to support analytic studies directed by the Secretary of Defense.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","","2009","2009","4","Subsistence of Enlisted Personnel","0604220A","HAC Denied
","702,956","524,643","09","09","Funds are available because subsistence-in-kind charges are not materializing to levels anticipated in the budget requests.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","","2009","2026","2","Mobilization","0603576N","HAC and SAC Denied
","288,305","09","09","2","Funds are available due to the early termination of three capital leases and by using a government-owned tanker ship versus leasing a commercial vessel. Future budgets have already been adjusted accordingly.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","","2010","2010","5","Permanent Change of Station","0603851F","HAC and SAC Denied
","949,777","681,211","09","09","Permanent Change of Station (PCS) funding is available due to 28,651 fewer moves occurring than the budgeted amount. The reduction in moves is due to fewer separations, operational, and rotational moves.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","","2009","2026","","","0601101E","HASC Denied
","09","09","1,834,735","1,868,660","Funding is available for the following:","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"RDTE","","","","2009","2026","1","Basic Research","0601102A","Yes

Congressional Action Approved by Sec Def
SS","09","10","1","060","-","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","","2009","2026","1","Tracked combat vehicles","","Yes
","09","11","1","40,345","Funds are available because the Milestone C (Production ) decision for the Joint Assault Bridge has been delayed to November 2009 due to technical problems integrating the bridge launcher hardware with the legacy M1A1 Abrams tank hull. Funds are available and can be reprogrammed to support higher-priority items with no risk to the program.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","","2010","2010","1","Ammunition","0604802A","Yes
","400,800","09","11","15,000","Funds are required to initiate limited production of the 120mm GPS-Guided Mortar Cartridge, which is being procured to support the Accelerated Precision Mortar Initiative (APMI). The goal of APMI is to rapidly qualify and release a 120mm GPS-guided precision mortar cartridge in one year in order to satisfy an Operational Needs Statement from theater. An all-weather, rapidly responsive, precise, 120mm, GPS-guided mortar is essential to support widely dispersed combat outposts and operations at the lowest tactical echelons, which cannot be immediately supported by other fires. The objective is to award a contract for the initial production of 500 to 1,500 cartridges (depending on the selected contractor) to achieve initial fielding in FY 2010. This is a new start.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","","2009","2009","1","Operation and Maintenance","","","09","09","1","24,611,369","Funding is required to pay for private sector care costs attributable to Traumatic Brain Injury and Psychological Health treatment through the purchased health care system. These funds are realigned to Defense Health Program, Operation and Maintenance, 09/09, appropriation, Private Sector Care budget activity group, from the Defense Health Program, Operation and Maintenance, 09/09, appropriation, Consolidated Health Support budget activity group. This is a congressional special interest item.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","Defense-Wide","2009","2009","1","Operating Forces","","Yes
","420,500","431,800","09","09","Funding is available from the following programs funded in FY 2009 Bridge:","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Operation and Maintenance","","","","2009","2026","1","Operation and Maintenance","","Yes
","09","09","1","24,611,369","Funds are available within the Consolidated Health Support budget activity group due to underexecution of Traumatic Brain Injury/Psychological Health initiatives not directly related to treatment. This action realigns funds to the Private Sector Care budget activity group Defense Health Program, Operation and Maintenance, 09/09, appropriation, to pay for increased purchased care costs for the treatment of Traumatic Brain Injury and Psychological Health (TBI/PH) for eligible beneficiaries.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2008","2008","5","Permanent Change of Station","","HAC requires notification of ADA before implementing
","08","08","5","1,525,953","After the appropriation expired in October 2008, financial reports revealed that Permanent Change of Station (PCS) costs for accession, operational, rotational separation and unit moves increased substantially above forecasts beginning in September 2008. The Army Audit Agency reviewed FY 2008 PCS activity and concluded that these costs were valid, attributing the increases to higher fuel costs and higher costs to ship household goods. These higher costs were not visible to our Army costing models prior to September 30, 2008.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2008","2008","5","Modification of Aircraft","","SSBN ERO
","10,802","08","10","993","Funds are required for the Aircraft Health Monitoring System (AHMS) program. Congress appropriated $1.0 million in the Aircraft Procurement, Navy, 08/10, appropriation for a C-130 AHMS development in FY 2008. The funding is insufficient to execute an upgrade to the legacy analog C-130 AHMS. The C-40A program can utilize this funding for performance enhancements on the current AHMS. This reprogramming action realigns funds for this congressional add to the C-40 modification line item for execution. This item is a congressional special interest item.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
