"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2010","2011","1","Operating Forces","0604808A","SAC Denied
","846,786","196,478","10","10","Funds are required for base funding shortfalls in the Base Operation and Support accounts. This funding will allow the Installation Management Command to provide common levels of support throughout the Army in all areas of life, safety, and family support and ensure that critical services are not disrupted.","10-11_PA_March_2010_Request.pdf"
"","","","","2010","2011","1","Ships Support Equipment","","NAVY INCREASES

HAC and SAC Denied
","10","12","6,600","1","Funds are required to fully fund Ship Service Turbine Generator (SSTG) rotor replacement forging and machining within one fiscal year. As referenced in the Conference Report supporting the Department of Defense Appropriations Act, 2010, funding for SSTG rotors was reduced; however, language was included that urged the Navy to submit a reprogramming that fully funded the procurement. An additional $700 thousand is being realigned within the line item to fund the balance of the procurement cost.","10-11_PA_March_2010_Request.pdf"
"","","","","2010","2011","3","Trainer Aircraft","0605860F","AIR FORCE INCREASES
","10","12","3","4,131","Funds are required to procure 19 replacement glider aircraft for use at the United States Air Force Academy. In August 2007, Blanek, the original equipment manufacturer (OEM), recommended that the Air Force reduce the safe service life of the TG-10C from 2,000 hours to 1,000 hours based on the demanding curriculum and high usage rate. The Air Force obtained OEM support in August 2009 to begin data collection and analysis to determine possible life extensions. Preliminary results indicate a maximum service life extension possibility of 100 additional flight hours. With that extension, the current glider aircraft will begin reaching the end of their service life in early 2011, necessitating an out-of-cycle request to avoid a loss of training and to protect the safety of Air Force Academy cadets. This is a new start.","10-11_PA_March_2010_Request.pdf"
"Operation and Maintenance","","","","2009","2009","","","0603882C","Department of Defense Education Activity
","542,786","364.886","10","10","Funds are required to support the military spouse tuition assistance program. Specifically, this program provides for the education and training required for a degree or credential at accredited colleges, universities, or technical schools in the United States that expands employment and portable career opportunities for military spouses in accordance with section 582 of P.L. 110-417, the Duncan Hunter National Defense Authorization Act for Fiscal Year 2009.","10-11_PA_March_2010_Request.pdf"
"Operation and Maintenance","","","","2012","2012","","","0604647A","SAC Denied
","955,786","262.478","10","10","Funds budgeted for the Army Career Tracker (ACT) are excess to the Operation and Maintenance requirements.","10-11_PA_March_2010_Request.pdf"
"","","","","2010","2011","1","Ships Support Equipment","0603564N","NAVY DECREASES
","10","12","47.080","25,080","Funds are available due to development and contract delays for the Unmanned Surface Vehicle (and Sweep), the Remote Multi-Mission Vehicle (RMMV), and the AQS-20A Minehunting","10-11_PA_March_2010_Request.pdf"
"Operation and Maintenance","","","","2012","2012","3","Training and Recruiting","0305614F","AIR FORCE DECREASES
","10","10","3","3,410,273","Funds are available because the Air Force Recruiting Information Support System- Reserve requires modifications to the system functionality and extensive testing before the recruiting businesses/applications for the Active Duty Air Force and Air National Guard can migrate to the central system.","10-11_PA_March_2010_Request.pdf"
"Operation and Maintenance","","","","2010","2011","","","0603882C","SAC Denied
","199.886","10","10","72,000","Funds are available due to a change in the original acquisition plan presented to Congress, which envisioned a firm fixed-price Operation and Maintenance contract using","10-11_PA_March_2010_Request.pdf"
"Operation and Maintenance","","","","2010","2010","4","Administration and Servicewide Activities","","Yes","150,000","10","10","150,000","Funds are required for the following programs/activities:","10-11_PA_March_2010_Request.pdf"
"Operation and Maintenance","","","","2010","2011","1","Operating Forces","","AIR FORCE INCREASE
","10","10","250,000","1","Funds are required for the following programs/activities:","10-11_PA_March_2010_Request.pdf"
