"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2010","2010","5","Permanent Change of Station Travel.","0603308A","Rotational moves have increased primarily due to additional Reset requirements for outside","818,032","10","10","46,000","Funds are required to support increased numbers of Training and Rotational moves. Rotational moves have increased primarily due to additional Reset requirements for outside Continental United States (OCONUS) units. The increase in training moves is driven by the increased availability of training for officers that had previously been deferred due to deployments.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2010","2","Pay and Allowances of Enlisted","0603564N","Yes

omponent Serial Number
Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def
pO ts","423,973","161,242","10","10","Funding is required to support pay and allowances for additional enlisted work years due to higher than planned average strength levels and for an increase in BAH due to higher than budgeted take rates. At the end of April 2010, the Navy end strength was 329,788 with the goal of reaching 328,800 by the end of FY 2010. During FY 2010, the Navy has experienced significantly fewer losses as more personnel chose to remain in the Navy vice separate or retire and fewer have been separated due to adverse economic conditions resulting in a higher than planned end strength.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","1","Pay and Allowances of Officers","0305159F","Yes
","510,245","10","10","373,700","Funds are required to support increased base pay, retired pay accrual, social security and basic allowance for housing associated with end strength approximately 900 over projected levels.","10-14_PA_Omnibus_2010.pdf"
"Operation and Maintenance","","","","2010","2014","","","0305183L","DEFENSE-WIDE INCREASES
","10","10","6,272,327","6,272,327","Funds are required to support the following activities:","10-14_PA_Omnibus_2010.pdf"
"Operation and Maintenance","","","","2010","2014","1","Pay and Allowances of Officers","0604270A","Yes
","858,032","10","10","64,487","Funds are available in the officer pay and allowances budget activity due to the suspension of the Officer Critical Skill Retention Bonus.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","1","Pay and Allowance of Officers","0603502N","SAC Denied
","154,242","10","10","1","Funds are available for transfer due to a rate change in Basic Allowance for Housing.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","1","Reserve Component Training and Support","0603211F","Yes
","508,245","10","10","10,000","Funding is available due to the fact that fewer training hours can be flown because of the increase in contingency flying that the Air Force Reserve will be accomplishing in support of the Afghan surge. The funds that would have otherwise provided for the Reserve flying training program are available for reprogramming.","10-14_PA_Omnibus_2010.pdf"
"Operation and Maintenance","","","","2010","2014","","","0603175C","Office of the Secretary of Defense","300,860","292.660","10","10","These funds are available to transfer to Procurement, Defense-Wide to properly execute the procurement of three AFRICOM information technology system projects. There is no impact to the operational activities at AFRICOM associated with the transfer of funds to accomplish the IT projects. This is a MIP project.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","2","Pay and Allowances of Enlisted Personnel","0604869A","Yes

Congressional Action Approved by Sec Def
es GS","641","810","2","343,455","Funds are required to finance a projected shortfall for enlisted personnel pay and allowances caused by a shift in the budgeted officer/enlisted ratio in the Army’s temporary end strength increase (TESD plan. The Army had programmed enlisted workyears of 461,323 and based on current forecasts, anticipates executing approximately 463,021 enlisted workyears — an increase of 1,698 workyears.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","1","Pay and Allowances of Officers Officer Pay","","NAVY INCREASES
","10","10","1","7,268,244","Funds are required to cover special pay entitlements for personnel supporting OCO. Special pays are executing higher than originally anticipated.","10-14_PA_Omnibus_2010.pdf"
"Operation and Maintenance","","","","2010","2014","","","","DEFENSE-WIDE INCREASES
","10","10","34,080","12.1","Funds are required for the following MIP and ISR TF activities:","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","1","Officer Pay and Allowances.","","Yes
","684,722","394,955","10","10","Funds are available in the officer pay and allowances budget activity due to under- execution in the requested retiree-recalls associated with the temporary end strength increase (TESTI) and in the Reserve Component mobilization request for officer pay and allowances. The Army budgeted for 1,592 officer man-years for the temporary end strength increase, but based on revised","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2010","2","Pay and Allowances of Enlisted","","Yes
","109,369","10","10","24,200","Funds are available due to lower than budgeted execution of enlisted reserve component mobilization levels (-142 workyears).","10-14_PA_Omnibus_2010.pdf"
"Operation and Maintenance","","","","2010","2014","1","Operating Forces","","Z A million inthe oe ine item fa he nti
","16,000","10","10","5","Funds are available from the following programs/activities: Z A million inthe oe ine item fa he nti","10-14_PA_Omnibus_2010.pdf"
"Operation and Maintenance","","","Air Force","2010","2014","","","","DEFENSE-WIDE DECREASES
","10","10","42,461","157,461","Funds are available due to less costly court activity than anticipated in both habeas corpus litigation (Federal District Courts) and for Office of Military Commissions litigation.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","1","Aircraft","0604854A","Yes

omponent Serial Number
Congressional Action Approved by Sec Def

es GS
","177,400","09","11","105,300","Funds are required to procure two new build CH-47F helicopters, accelerating CH-47F modernization.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","6","Engineer and Other Equipment","0603581N","NAVY INCREASES
","09","11","6","34,337","Funds are required to support the reorganization of the Medical Battalions. Reorganization will provide more mobile, scalable, and adaptable treatment facilities such as Forward Resuscitative Surgery Suite (FRSS) and Shock Trauma Platoons (STP) as far forward as possible in the battlefield to meet USMC warfighting requirements. These are critical need items for Operation Enduring Freedom.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","7","Aircraft Support Equipment and Facilities","0604857F","Replenishment Spares and Repair Parts Missile Replenishment Spares and Repair Parts
","67,540","48,085","09","11","Funds are required to procure additional equipment for the B-2 Weapon System Support Center System Integration Laboratory (WSSC-SIL) capabilities. Specifically, additional funds will procure non-stock listed piece parts, Special Test Equipment (STE) and peculiar support equipment.","10-14_PA_Omnibus_2010.pdf"
"Procurement","","","","2010","2014","2","Special Operations Command","","DEFENSE-WIDE INCREASES
","09","11","2","64,057","Funds are required to procure Joint Threat Warning System precision geo-location equipment items. This is a MIP project.","10-14_PA_Omnibus_2010.pdf"
"","","","","2011","2011","1","Tactical and Support Vehicle","","Yes

omponent Serial Number
Congressional Action Approved by Sec Def

po ee

Modification of In-Service Equipment
","177,400","09","11","177,400","Funds are available due to slower than programmed execution. Program will reach its acquisition objective with the FY 2011 funding. Funds can be used for other priorities with no impact to program.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","4","Communications and Electronics Equipment","0101221N","Yes
","103","60","09","11","Funds are available due to reductions associated with the Battlefield Target Identification Device, a joint effort with the Army. Vehicle-to-vehicle combat ID technology efforts will not be pursued at this time.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","3","Trainer Aircraft","0604226F","AIR FORCE DECREASES
","09","11","3","27,579","Funds are available because funding originally provided to correct T-6 engine deficiencies for in-service aircraft is no longer required. The contractor has assumed responsibility for this corrective action.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","2","Special Operations Command","","Yes
","424","4","2,367","09","Funds are available because a reduced requirement for multiple platform support equipment items was identified. Funds are available for higher priority requirements without significant impact to supported programs.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","2","Modification of Aircraft","","ARMY INCREASES
","08","10","2","47","Funds are required to upgrade CH-47 flight proficiency simulators to the current modernized cockpit configuration and complete digital parts marking for enhanced logistical support operations. The digital parts marking effort supports a DoD mandate to mark any part deemed a","10-14_PA_Omnibus_2010.pdf"
"","","","","","","1","Combat Aircraft","","AIR FORCE INCREASES
","08","10","1","22","Funds are required to procure 3 F-22 whole spare engines. Engine availability models, based on user operational scenarios, indicate a requirement for 104 total whole engine spares to sustain the F-22 fleet over its life (~2032). The current program funds only 65 whole engine spares. . The engines required are initial spares and will be available for use immediately upon delivery to squadrons to maintain unit operational readiness.","10-14_PA_Omnibus_2010.pdf"
"","","","Air Force","2010","2014","2","Special Operations Command","","Yes

omponent Serial Number
Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def
Pepe Pepe Pepe Te Te","08","10","2","458,587","Funds are required for a classified program. The details are classified (other) and will be provided under separate cover.","10-14_PA_Omnibus_2010.pdf"
"Procurement","","","","2010","2014","1","Ammunition","","ARMY DECREASES
","08","10","1","61,358","Funds are available due to decreased expenditures of Aircraft Flares in current operations because of upgrades to software in the Common Missile Warning System (CMWS). Additionally, the Army has developed a solution to reduce the current three flare strategy to a two flare mix, terminating the XM216 Flare effort.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","2","Airlift Aircraft","","AIR FORCE DECREASES
","08","10","2","17","Funds are available from the C-17aircraft buy (+15 aircraft) as a result of favorable negotiations with the contractor. This is a congressional special interest item.","10-14_PA_Omnibus_2010.pdf"
"","","","","2010","2014","2","Special Operations Command","","DEFENSE-WIDE DECREASES
","08","10","2","22","Funds are available because the initial spares contract negotiations are taking longer than expected. Delay is due to the switch in contracting type to fixed-price definitized contracts. This change has driven negotiations down to the sub-vendor level, which delayed the original contracting timelines.","10-14_PA_Omnibus_2010.pdf"
