"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2011","2011","01","Pay and Allowances of Officers","9604115A","Yes","669,818","466,850","11","11","Funds are required for the following requirements: © $125.0 million to support pay and allowances for additional officer workyears due to higher","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","","2011","2021","05","Permanent Change of Station","0603502N","Yes","617,540","11","11","36,567","Funding is required for higher than anticipated Permanent Change of Station costs due primarily to movement of personnel in conjunction with evacuation orders for Japan and Bahrain.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"Operation and Maintenance","","","","2011","2021","01","Operating Forces","0603840F","Yes","1,224,956","693,543","11","11","Funding is required for the following activities:","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"Operation and Maintenance","","","","2011","2021","","","0603767E","Yes","171,836","11","11","93,200","Funds are required to address shortfalls for DISA hosting costs supporting the Global Exchange System (GEX), Wide Area Workflow (WAWEF), and Electronic Document Access (EDA).","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","","2011","2021","04","Subsistence of Enlisted Personnel","","Yes","640","125","519,500","11","Funds are available due to fewer soldiers subsisting in base dining facilities than budgeted.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","","2011","2021","01","Pay and Allowances of Officers","0204202N","Yes","323,133","11","11","26,967","Funds are available due to lower than forecasted Basic Allowance for Housing payments.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"Operation and Maintenance","","","","2011","2021","01","Operating Forces","","Various Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def
","953","396","266,882","11","Funds are available from the following activities:","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"Operation and Maintenance","","","","2011","2021","","","","Business Transformation Agency","1","043","776","840,254","Funds are available due to efficiency savings from reducing reliance on service support contractors","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","","2011","2011","06","Other Military Personnel Costs","0603270A","Yes","606","387","592,687","11","Funds are required to support increased costs associated with unemployment compensation benefits to ex-servicemembers. This is an Overseas Contingency Operations (OCO) requirement.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","","2011","2021","04","Subsistence of Enlisted Personnel","0603527N","Yes","660,301","11","11","12,039","Funds are required to support Navy’s assumption of responsibility for mess facilities at Isa Air Base in Bahrain. The ISA Air base, located at the southern tip of Bahrain, conducts deployment support/logistics and other operations in the CENTCOM Area of Responsibility, including food operations support within the theater. This is an OCO requirement.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"Operation and Maintenance","","","","2011","2021","01","Operating Forces","","Yes","454,500","11","11","296,000","Funds are required for the following activities. These are OCO requirements. o $121.0 to maintain facility operations and base support costs tied to Air Force installations in US Central Command's Area of Responsibility. o $75.0 million to fund additional Contract Logistics Support for various weapon systems due to increased OCO taskings.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"RDTE","","","","2011","2021","02","Special Operations Command","","SOF Operational Enhancements
","96,725","11","13","89,000","Funds are required for a non-intelligence classified effort. Classified details will be provided via appropriate channels. This is an OCO requirement.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","","2011","2021","01","Pay and Allowances of Officers","","Yes","413","9.62","1,127,767","11","Funds are available in the officer pay and allowances due to underexecution of Reserve Component (RC) mobilization levels. The Army budgeted for 14,339 officer workyears, but anticipates executing approximately 11,930 workyears, resulting in an underexecution of 2,409 workyears. This is Title IX OCO funding.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","","2011","2021","01","Pay and Allowances of Officers","","Yes","345,716","11","11","12,039","Funding is available due to a decrease in the anticipated number of officers receiving Family Separation Allowance (FSA). This is Title IX OCO funding.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","","2011","2021","01","Pay and Allowances of Officers","","Yes","11","11","01","9,242,883","Funds are available due to military personnel requirements being less than originally projected to support Operation ENDURING FREEDOM (OEF) and Operation NEW DAWN (OND). This is Title IX OCO funding.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"Operation and Maintenance","","","","2010","2010","","","","","41,900","11","11","41,900","Funds are available due to less costly court activity than anticipated in both habeas","11-21-R_PA_Omnibus_2011_FINAL.pdf"
"","","","Defense-Wide","2011","2021","04","Support Equipment and Facilities","0604601A","Yes","193.016","124,916","10","12","Funds are required to support the continued equipping of the 13th Combat Aviation Brigade (CAB) with components of the Air Warrior System. These components, which will upgrade the current air warrior clothing and survival gear carriage system, include light weight and improved head and laser eye protection, individual survival vest and survival gear components, and a wearable environmental control system for non-rated crew members with a wearable light weight power source.","11-21-R_PA_Omnibus_2011_FINAL.pdf"
