"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2011","2022","04","Other Aircraft","0604761N","Yes
","11","13","04","8","Funds are required for the following efforts. These are MIP projects. © $6.0 million to procure and install one Fire Scout Ground Control System (GCS) aboard a ship that will deploy in support of Special Operations Forces (SOF). The SOF has an urgent requirement (JUONS SC-0001) for sea-based Intelligence, Surveillance, and Reconnaissance (ISR) to find, fix, and finish terrorist networks in areas where land basing is precluded. The Special Operations Command (SOCOM) has requested the use of Fire Scouts as an interim capability until the Navy fields a program-of-record solution in 2019. In April-May 2011, a DD 1415-1 UNCLASSIFIED","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"","","","","2011","2022","","","","Yes
","141","5","1","6","Funds are ° required #0 for the fovowing S MIP Proj jects/activities:","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"Operation and Maintenance","","","","2011","2022","","","0305183L","DEFENSE-WIDE INCREASES
","11","11","2,500","650","Funds are required for a classified program. The details are classified and will be provided under separate cover. This is a MIP project.","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"Operation and Maintenance","","","","2011","2011","01","Operating Forces","","Yes
","11","11","01","3,320,699","Funds are available because the baseline flying hour program is currently underexecuting due to a large volume of requirements for contingency flying support and prudent reduction in activity under Continuing Resolution Authorities, while awaiting FY 2011 appropriations.","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"Operation and Maintenance","","","Air Force","2011","2011","01","Operation and Maintenance","","Yes
","112,517","11","11","112,517","Funds are in excess to the Defense Health Program requirements and can be used for higher priority items with no impact to the program. The FY 2011 Private Sector Care (PSC) funding requirement was developed using FY 2009 actuarial data, which was the most current full year of workload, claims data, and trend analysis available. Based on the FY 2009 analysis, increasing TRICARE population, and continued upward health care utilization trends, the FY 2011 PSC was projected to increase by 13.2%. The FY 2011 execution through May 2011 is now projected at 5.4%.","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"","","","","","","02","Communications and Electronics Equipment","","","11","13","02","457,025","Funds are required for the continued fielding of the Ground Based Persistent Surveillance System (PSS), a persistent stare system that enhances force protection efforts and creates dominant battle-space awareness. This funding will support JUON CC-0306-M4. This is an","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"Operation and Maintenance","","","Army","2011","2010","01","Operating Forces","","Yes
","29,700","11","11","1,500","Funds are required for the deployment of two Wide Field of View Persistent Surveillance Ground Receive Stations (GRS). These funds will be used for the operational support and maintenance of critical spares, training, Concept of Operations (CONOPS) development, and field service representatives. These funds will enable the Marine Corps to provide GRSs for broad area, near real time, and forensic exploitation of geo-registered imagery from theater and organic Wide Area Surveillance (WAS) assets and disseminates down to the tactical level of execution. This capability will enable the Marine Corps to conduct automated analysis of large volumes of WAS imagery. This effort supports a multi-service effort to deploy a Wide Area Motion Imagery sensor on a Marine Corps-operated RQ-7 UAS in response to CENTCOM JUONS CC-0424 “Wide Area Surveillance.” This was previously approved on FY 11-10 PA (SUONS and ISR TF), but could not be implemented because of the lack of approved funding sources. This is an OCO requirement. This is a MIP project and ISR TF Initiative.","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"","","","","2011","2022","05","Modification of Inservice Aircraft","0604281F","Yes
","160,790","11","13","108,586","Funds are required to upgrade one MC-12 from Block I to Block II configuration. This effort supports the Secretary of Defense’s directed Full Motion Video (FMV) surge. This is an OCO requirement. This is a MIP project and an ISR TF Initiative.","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"Operation and Maintenance","","","","2011","2022","04","Administration and Servicewide Activities","","Yes
","228,570","263,770","11","11","Funds are available from the following MIP projects. These are Title IX OCO funding sources. © The following projects are ISR TF Initiatives: $-7.92 million from the Low Level Voice Intercept. Funds are available because the requirement was already met. $-15.0 million from the Signals Intelligence (SIGINT) Analysts Funds are early to need. $-4.0 million from the Ground Moving Target Indicator Processing Exploitation and Dissemination. Funds are early to need. $-8.0 million from the 2x Airborne Reconnaissance Support Team. Funds are early to need. $-30.0 million from the C-12 Medium Altitude and Reconnaissance Surveillance System (MARSS) operations. Funds are early to need. $-103.950 million from the MARSS. Funds are early to need. The following projects is not an ISR TF Initiative: ° §-10.0 million from the Biometrics Enabled Intelligence program due to rephrasing of the","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","","28,200","11","11","28.200","Funds are available from within Servicewide transportation due to underexecution compared to forecasts for the transition of forces and equipment from Iraq to Afghanistan, including the movement between CENTCOM and CONUS. Security program funds are available due to underexecution compared to forecasts in the areas of personnel support and supplies and equipment.","11-22-R_PA_Omnibus_MIP_2011_FINAL.pdf"
