"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2012","2018","01","Pay and Allowances of Officers","0603734A","Yes
","475","9.975","1,143,121","12","Funds are required for the following requirements: © $+10.0 million to offset higher than budgeted Basic Allowance for Housing inflation rates,","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","04","Subsistence of Enlisted Personnel","0603553N","Yes
","12","12","04","1,117,158","Funding is required for the following: © $+7.904 million to offset an increase in the basic allowance for subsistence (BAS) inflation rate for 2012 from a budgeted rate of 3.4 percent to an actual rate of 7.2 percent. This is a base budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Operation and Maintenance","","","","2012","2012","01","Operating Forces","0208161F","Yes
","4,195,932","1,126,439","12","12","Funds are required for the following activities: © $+81.375 million for increased fuel costs. The composite fuel price changed from the budgeted rate of $131.04 per barrel to an average composite rate of $143.17 per barrel for FY 2012. This unprogrammed rate increase cannot be absorbed within the current Active Air Force’s Operation and Maintenance funding. This is a base budget requirement. $+71.3 million for increased fuel costs for Overseas Contingency Operations. The composite fuel price changed from the budgeted rate of $131.04 per barrel to an average composite rate of $143.17 per barrel for FY 2012. This unprogrammed rate increase cannot be absorbed within the current Active Air Force’s OCO Operation and Maintenance funding. This is an OCO budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2012","","","","Yes
","8.870","120","6","112","Funding is required for the following base budget requirements for the Defense Security","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Operation and Maintenance","","","","2012","2018","04","Subsistence of Enlisted Personnel","0604131A","Yes
","1,037,598","12","12","77,000","Funds are available due to fewer soldiers eating in base dining facilities than budgeted. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","02","Pay and Allowances of Enlisted","0603525N","Yes
","515,645","365,585","12","12","Funding is available from Enlisted Basic Allowance for Housing due to the following: © $-112.156 million driven by a decrease in the inflation rate from a budgeted rate of 3.6 percent to an actual rate of 1.6 percent. This is base budget funding. © $-105.0 million as a result of 6,320 fewer enlisted workyears than budgeted. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2012","01","Pay and Allowances of Officers","0603605F","Yes
","688,889","12","12","221,870","Funds are available from the following programs: © $-63.770 million due to an excess-to-need of budgeted officer separation pay resulting from","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Operation and Maintenance","","","","2012","2018","","","0303150K","Department of Defense Education Activity","930,549","844,949","12","12","Funds are available due to reduced demand by spouses for My Career Advancement Accounts as a result of the Department implementing a new configuration for the program in October 2010. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","01","Pay and Allowances of Officers","","Yes
","91","1,012,227","12","12","Funds are required in the officer pay and allowances due to higher than budgeted levels of officer Reserve Component (RC) mobilization levels and Active Component Temporary End Strength Increase (TESD workyears. The Army budgeted for 8.6K Officer Reserve Component workyears, but anticipates executing approximately 10.5K workyears, resulting in overexecution of 1.9K RC workyears. The Active Component (AC) TESI workyears were budgeted at 1.8K, and execution is projected to be 2.9K, resulting in an overexecution of 1.1K workyears. Funds are also needed for deployment special pays and allowances. This is an OCO budget requirement","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","","","06","Other Military Personnel Costs","","","104,349","12","12","21,339","Funds are required to support a net increase in unemployment compensation and Traumatic Servicemembers’ Group Life Insurance (TSGLJ) costs and a decrease in Servicemembers’ Group Life Insurance (SGLI) premium payments. Navy unemployment compensation costs are $14.3 million higher","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","04","Subsistence of Enlisted Personnel","","Yes
","813,258","12","12","44,130","Funds are required to support increased costs associated with subsistence-in-kind provided to DoD active and reserve component personnel. This revision is consistent with the drawdown from Iraq and the repositioning of forces in the AOR. This is an OCO budget requirement","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Operation and Maintenance","","","","2012","2018","","","","Yes
","20,000","12","12","20,000","Funding is required for trials and other support activities needed for the Office of Military Commissions (OMC) cases and Habeas Corpus actions regarding detainees. Specifically, this requirement is due to a rapid increase in OMC activities related to trial of Khalid Sheik Mohammed and four others accused of orchestrating the attacks against the United States on September 11, 2001. This is an OCO budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2012","04","Subsistence of Enlisted Personnel","","Yes
","12","12","04","3,331,184","Funding is available due to lower than budgeted Subsistence-In-Kind execution stemming from menu standardization across theater dining facilities. All dining facilities in theater are receiving the same menu choices on a 28-day rotation. This is Title IX OCO budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","01","Pay and Allowances of Officers","","Yes
","104,349","12","12","40.554","Funding is available due to a decrease in the number of mobilized reserves, which are executing at a lower level than planned. This is Title IX OCO budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2012","01","Pay and Allowances of Officers","","Yes
","237","630","180,630","12","Funds are available in officer pay and allowances due to lower than budgeted levels for officer Reserve Component (RC) mobilization levels. Active Air Force’s revised FY 2012 OCO budget projected 2,580 officer workyears. The current projected requirement is 2,340 workyears. This revision is consistent with the drawdown from Iraq and repositioning of forces in the AOR. This is Title IX OCO budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Operation and Maintenance","","","","2012","2018","","","","Defense Security Cooperation Agency","1,500,000","12","13","500,000","Funds are available due to a pause in reimbursements to Pakistan for expenses incurred in support of Operation ENDURING FREEDOM. This is Title IX OCO budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Missile Procurement","","","","2012","2018","02","Other Missiles","0605301A","Improved Recovery Vehicle (M88A2 Hercules)","370,284","341,200","11","13","Funds will procure 58 Patriot Advanced Capability 3 (PAC-3) missiles to meet an existing","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","","","","Yes
","141","5","1","53","Funds are required to procure two additional Navy Dive Boats to meet Fleet requirements. This is a congressional interest item. This is a base budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","02","Airlift Aircraft","0604635F","Yes
","484,355","114,855","11","13","Funds are required for 12 Quick Engine Change (QEC) Kits. These are the final 12 QEC kits required for the 45 lifetime spare engines procured previously. These QEC kits are needed to install associated engines on aircraft. This is a base budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2012","02","Special Operations Command","","Yes
","11","13","02","8,260","Funds are required for the following programs: © $+4.000 million to procure two craft and associated government furnished equipment to support the","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","01","Aircraft","0604661A","Yes
","11","13","01","1","Funds are available as a result of the termination of this program. This is a congressional special interest item. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Procurement","","","","2012","2012","01","Combat Aircraft","0605450N","Yes
","11","13","01","18","Funds are available due to changes in the EA-18G procurement plan. The FY 2012 budget reduced the quantity of the EA-18G aircraft procured, which resulted in excess FY 2011 advance procurement funds. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","05","Modification of Inservice Aircraft","0603860F","SASC Denied","181,355","114,855","11","13","Funds are available due to negotiated savings in the Large Aircraft Infrared Counter Measure contract. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","01","Major Equipment","","Yes
","11","13","01","8,797","Funds are available from the Virtual Information Processing System (VIPS) program because they are excess. Based on revised agreements between the acquisition program manager and the United States Medical Entrance Process Command, the customer is now responsible for purchasing laptops, desktops, biometric devices, and medical equipment required to access the VIPS program. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Procurement","","","","2012","2003","02","Communications and Electronics Equipment","","Ravid Eaujppine Soldier S Eaui
","200,985","98,100","67,100","984","Funds are required to complete the procurement and spares of 42 Ku-band Multi-Function Radio Frequency Systems (MFRFS). Initial procurement was funded with $180.0 million included in Reprogramming Action FY12-03 PA (Urgent Operational Needs). The Army did not request the full amount until stationing decisions in Afghanistan were finalized. As part of the stationing decision, the Commander for USCENTCOM submitted an additional Joint Urgent Operational Need (JUON) statement for two additional Forward Operating Bases bringing the total from 22 to 24. These radars enable improved sensing and warning capability against rockets launched at a low quadrant elevation, and at a greater range than current radars. This capability directly counters the tactics utilized by enemy forces and greatly enhances the overall force protection to the soldiers. These radars meet the next phase of USCENTCOM's JUON CC-0362, Mod 3. This budget line item is a congressional special interest item. This is a congressional special interest item. This is an OCO budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Missile Procurement","","","","2012","2018","02","Other Missiles","","Yes
","102.885","11","13","55.885","Funds are required to increase low Hellfire inventory levels resulting from the high expenditure rates in current operations. The Hellfire missile is used extensively to provide close air support and engage time-sensitive targets such as improvised explosive device implacers, vehicles, and personnel both in the open and in structures. Funding supports increased MQ-1 Predator and MQ-9 Reaper patrol missions. This is an OCO budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Procurement","","","","2013","2013","02","Communications and Electronics Equipment","","Base Expeditionary Targeting And Surv Sys","98,100","11","13","981","Funds are available due to a reduction in requirements due to the drawdown of Operation NEW DAWN (OND) and the shift to Operation ENDURING FREEDOM (OEF) resulting in the program manager having excess Command and Control Modules (C2M). The planned procurement of additional C2Ms is not required. This is a congressional special interest item. This is Title IX OCO budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","05","Modification of Inservice Aircraft","","Yes
","11","13","05","5","Funds are available due to negotiated savings in the Large Aircraft Infrared Counter Measure contract (LAIRCM). This is Title Ix OCO budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Procurement","","","","","","02","Ammunition Production Base Support","","","10","12","02","162,653","Funding is required to support two distinct Provision of Industrial Facilities (PIF) investment efforts at Radford Army Ammunition Plant. These previously authorized PIF projects will modernize antiquated production processes, improve the quality of the work environment for employees, replace failing infrastructure, and remediate environmental hazards. This is a congressional special interest item. Funding requirements by project are:","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","05","Modification of Aircraft","","Yes
","19,103","10","12","17,450","Funds are required to fund the conversion of the Optimized Top Owl from the V1 configuration to the V2 configuration, which will increase mission effectiveness and aircrew safety for fielded H-1 aircraft. This is a base budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2010","2010","02","Special Operations Command","","Yes
","10","12","372","02","Funds are required to replenish war reserve ordnance stock. This is a base budget requirement.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"Procurement","","","","2012","2018","01","Tracked Combat Vehicles","","Yes
","10","12","01","191,309","Funds are available because the radios and spares costs were less than anticipated. This is a congressional special interest item. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","","","01","Combat Aircraft","","","10","12","01","22","Funds are available due to Peculiar Ground Support Equipment requirements that were negotiated at a lower cost than initially budgeted; thus, these funds are excess to need. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","Navy","2012","2018","01","Combat Aircraft","","Yes
","10","12","01","22","Funds are available due to an updated, more cost-efficient production shutdown strategy. The original production shutdown strategy estimate was based on planned storage in commercial warehouse facilities. Due to an update in strategy, storage preparation and recurring requirements shifted to on-site organic storage resulting in savings. This is base budget funding.","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
"","","","","2012","2018","02","Special Operations Command","","Special Operations Vehicles program because the funds are excess to need due to the contract being awarded","372","10","12","372","Funds are available from the Lightweight Mobility Vehicle effort included in the Family of Special Operations Vehicles program because the funds are excess to need due to the contract being awarded for $1.2 million vice $1.6 million added by Congress. This is a congressional special interest item. This is base budget funding.-","12-18_PA_Omnibus_2012-Implementation-10-10-12.pdf"
