"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2013","2013","01","Pay and Allowances of Officers","0603734A","Includes Transfer
Yes

omponent Serial Number
Congressional Action Approved by Sec Def
a","2","917","797","2.284","Funds are required due to updated active component enduring officer strength requirements. Since the submission of the FY 2013 President’s Budget’s request, the Army has refined the projected requirements for officer strength as part of the enduring 490,000 force. These refined requirements include more officer strength than was submitted in the budget request (92,915 enduring active component officer average strength required, as compared to the budgeted request of 84,500 enduring officer average strength). This is a base budget requirement.","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"Operation and Maintenance","","","","2014","2014","01","Operating Forces","","Includes Transfer
Yes
","285,800","282.800","13","13","Funds are required for the following requirements:","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"Operation and Maintenance","","","","2013","2010","01","Operating Forces","0604800F","Preservation of mission systems software Block schedule and content is critical to prevent delayed fielding o","827.757","13","13","824,245","Funds are required for the following requirements: © $+436.731 million to support shortfalls for base communications throughout the U.S. Central Command Area of Responsibility for network operations, satellite communication bandwidth and transmissions, air traffic control landing system support, and teleconferencing. Failure to provide these funds will degrade theater communications support and endanger pilots and aircraft during landing operations. The total requirement is $549.966 million and the balance ($113.235 million) is requested in FY 13-10 PA. This is an OCO budget requirement. $+200.0 million to support shortfalls for operating and personnel support for the Air Force’s continued presence at installations throughout the U.S. Central Command Area of Responsibility for medical supplies, airfield operations, and air traffic management. Failure to provide these funds will degrade day-to-day operations for deployed Air Force personnel and increase the risk of mission failure. This is an OCO budget requirement. $+142.0 million to support shortfalls for facilities operation at Air Force installations throughout the U.S. Central Command Area of Responsibility for the operation, maintenance, and repair activities necessary to keep transitory and non-inventory facilities in working order due to continued presence at operating bases. Failure to provide these funds will degrade facility conditions and increase life and safety issues. This is an OCO budget requirement. $+100.0 million to support shortfalls for supplies and equipment supporting Air Force operating bases and personnel within the U.S. Central Command Area of Responsibility. Failure to provide these funds will result in degradation of Air Force operations. This is an OCO budget requirement. $+47.750 million to","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"Operation and Maintenance","","","","2013","2010","","","0603884C","HAC and HASC Denied
","244,317","193,540","13","13","Funds are required for NSA to establish a trained and ready cyber workforce in direct support of U.S. Cyber Command, Cyber Mission Force requirements. The total requirement is $89.327 million and the MIP portion ($74.333 million) and non-MIP ($1.155 million) is included in FY 13-10 PA. This is a base budget requirement.","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"","","","","2013","2013","02","Pay and Allowances of Enlisted","","Includes Transfer
Yes
","2,237","267","1,758,589","13","Funds are available due to updated active component enduring enlisted strength requirements. Since the submission of the FY 2013 President’s Budget request, the Army has refined the projected requirements for enlisted strength as part of the enduring 490,000 force. These refined requirements include fewer enlisted strength than was submitted in the budget request (392,770 enduring active component enlisted average strength required, as compared to the budgeted request of 401,777 enduring enlisted average strength). This is base budget funding.","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"","","","","2013","2013","01","Pay and Allowances of Officers","0603746N","Includes Transfer
Yes
","13","13","217,000","01","Funds are available as follows: © $-53.0 million due to a projected decrease of 281 officer average strength from the budgeted average strength of 53,633. Funding includes $51.0 million from base pay, retired pay accrual, social security tax, and allowances. Additionally, incentive pays are slightly lower than planned resulting in a $2.0 million asset. This is base budget funding. $-22.0 million due to the mobilization of 151 fewer reserve officers than planned. This is Title Ix OCO budget funding.","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"","","","","2013","2013","01","Pay and Allowances of Officers","0603432F","Includes Transfer
Yes
","970,414","13","13","135,257","Funds are available as follows:","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"Operation and Maintenance","","","","2013","2010","","","","Includes Transfer
Yes
","154,151","241,310","13","13","Funding is available as a result of efficiencies realized on the radar sustainment contract. The total source is $9.476 million and the balance ($1.988 million) is included in FY 13-10 PA. This is base budget funding.","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"Operation and Maintenance","","","","2013","2013","01","Operating Forces","","Failure to provide these funds will require the deployment of additional signal Soldiers to meet","2,631","783","13","13","Funds are required for the following requirements: © $+1,388.194 million to support funding shortfalls for United States Forces-Afghanistan operations due to higher than budgeted troop levels in Afghanistan. The budget assumed 40,881 average end strength, but actual execution reflects 50,472 average end strength. This is an OCO budget requirement. $+145.0 million to support funding shortfalls in subsistence of civilian and contract personnel due to higher than budgeted average full-time equivalent estimates due to more accurate reporting of civilian","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
"Operation and Maintenance","","","","2013","2013","01","Operating Forces","","Includes Transfer
Yes
","812,992","13","13","812,992","Funds are required for the following requirements:","13-09_PA_May_2013_Prior_Approval_Request_Implemented.pdf"
