"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2014","2011","01","Pay and Allowances of Officers","0604120A","Includes Transfer

Yes
","936","475","795,732","14","Funds are required to cover higher than budgeted Overseas Station Allowance (OSA) execution rates. Increases in execution are driven by changes in payment rates due to local market surveys and inflation. Army is experiencing significant OSA rate increases in the following locations: Alaska (Wainwright and Richardson), Korea (Seoul), Germany (Stuttgart), and Hawaii. This is a base budget requirement.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2013","2013","01","Pay and Allowances of Officers","0603114N","Annual Training (Officer = 55% versus 44% budgeted, Enlisted = 40% versus 37% budgeted)","14","14","01","7,730,666","Funds are required for officer base pay, retired pay accrual, and social security tax due to execution of an additional 122 officer workyears. This is a base budget requirement.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","01","Pay and Allowances of Officers","0207110F","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","484,035","366,976","14","14","Funds are required to pay increased Basic Allowance for Housing costs. This shortfall is the result of an identified asset during congressional mark-up that is not materializing due to higher than previously projected number of takers for officer basic housing allowance. This is a congressional special interest item. This is a base budget requirement.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"Operation and Maintenance","","","","2014","2014","","","0603882C","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","14","14","2,280","201","Funds are required for the initial operating requirements for the newly formed Defense Personnel Accounting Agency (DPAA) to ensure the Department proceeds on the most effective course for creating a single, accountable entity with oversight of all personnel accounting resources, research, and operations across the Department. This action combines available FY 2014 Operation and Maintenance (O&M) appropriations encompassing the Defense Prisoner of War/Missing Personnel Office (DPMO), the Joint Prisoner of War and Missing in Action Accounting Command (JPAC), and the Life Sciences Equipment Laboratory (LSEL) under the newly formed DPAA within the O&M, Defense-Wide appropriation. This funding amount reflects projected spend plan for August and September for non-pay related requirements (e.g., travel, equipment and other service contracts). Personnel will remain on the existing organizations rolls until next fiscal year when they will be reassigned to DPAA. This is base","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","02","Pay and Allowances of Enlisted","0604220A","Includes Transfer
Yes
","894","135","713,232","14","Funds are available in the following programs: oe $-101.0 million in basic pay as a result of a congressional increase that was intended to be applied across the full spectrum of enlisted pay and allowances, but was applied only to the basic pay line item within the ‘‘Explanation of Project Level Adjustments” tables. This is a congressional special interest item. $-10.0 million in clothing allowances due to lower than budgeted accession mission, 62 thousand budgeted compared to the actual mission of 57 thousand. This is base budget funding. $-6.0 million in selective reenlistment bonuses due to lower execution than budgeted. This is base budget funding. $-11.0 million due to 165 fewer baseline enlisted reservists on active duty for operational support (ADOS) than planned. This is base budget funding. $-15.0 million as average rates of payment for enlisted soldiers have been lower than budgeted. This is base budget funding. $-5.0 million in aid and attendance for catastrophically injured soldiers due to lower than budgeted execution $-2.0 million in education benefits due to lower than budgeted execution. This is base budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","02","Pay and Allowances of Enlisted","0605555N","Includes Transfer
Yes
","340.514","447,520","14","14","Funds are available as follows:","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"Operation and Maintenance","","","","2014","2011","01","Pay and Allowances of Officers","0604933F","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee

This funding amount reflects projected spend plan for August and September for non-pay related","336,976","14","14","87,273","Funds are available due to underexecution of 475 officer workyears. Additionally, funds are available from officer separation payments due to lower than anticipated number of takers for the TERA program and VSP. This is a congressional special interest item. This is base budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"Operation and Maintenance","","","","2014","2011","","","0601101E","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","14","14","21,347","21,586","Funds are available from the Defense Prisoner of War/Missing Personnel Office as this activity is being consolidated with similar activities under the newly formed Defense Personnel Accounting Agency (DPAA) to ensure the Department proceeds on the most effective course for creating a single, accountable entity with oversight of all personnel accounting resources, research, and operations across the Department. This funding amount reflects projected spend plan for August and September for non-pay related requirements (e.g., travel, equipment and other service contracts). Personnel will remain on the existing organizations rolls until next fiscal year when they will be reassigned to DPAA. This is base budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","01","Pay and Allowances of Officers","0604741A","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","530,599","14","14","68,000","Funds are required to cover slightly higher than budgeted officer over-strength levels. The","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","02","Pay and Allowances of Enlisted","","Includes Transfer
Yes
","484.516","14","14","29.100","Funds are required for Imminent Danger Pay (IDP) due to later than planned implementation of the IDP location changes. This is an OCO budget requirement.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
