"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2014","2014","03","Other Support Equipment","0604822A","Security Cooperation and Theater Contingency Operations in the United States Central Command Area of","15","17","03","51,500","Funds are required to support the United States Army Central Command Field Artillery Brigade forces located at Camp Redleg on Al Minhad Airbase, United Arab Emirates supporting Theater Security Cooperation and Theater Contingency Operations in the United States Central Command Area of Operations (CENTCOM AOR). Funds will procure 64 Modular Energy Efficient Shelters (MEES) for housing; a dining facility; Operations Center; and Moral, Welfare and Recreation (MWR) facilities. Procuring energy efficient structures will replace tents and will establish adequate working/living conditions, while also significantly reducing the strain on the power and energy resources in this austere and harsh environment. This is a base budget requirement.","15-09_PA_February_2015%20Request.pdf"
"Operation and Maintenance","","","","2015","2015","04","Administration and Servicewide Activities","0604307N","Yes

omponent Serial Number
ee Ee ee
Congressional Action Approved by Sec Def
DR GS","15","15","04","36,455,236","Funds are required for the following efforts: © $+20.353 million is required to support Operation ROLLING TIDE (Information Systems Security Program) and Task Force Cyber Awaking (Information Dominance Enterprise Architecture, Information Technology and Information Assurance Technical Authority, and Certification Authority) efforts in service-wide communications and planning, engineering and design. These efforts are a result of a reprioritization within the Base Support Enterprise Information Technology (BSIT) ape This i is a base budget requirement.","15-09_PA_February_2015%20Request.pdf"
"Operation and Maintenance","","","","2014","2014","01","Operation and Maintenance","","Yes

cmponent Sorat Nobo

ee Ee ee
Congressional Action Approved by Sec Def

po ee
","15","15","01","29,875,923","Funds are required to support information technology (IT) contract support services, software licenses, and IT maintenance costs for the Defense Medical Information Exchange (DMIX) initiative. Execution of these DMIX activities requires Operation and Maintenance (O&M) funding for proper execution vice the currently budgeted and available Defense Health Program (DHP), Research, Development, Test, and Evaluation, 15/16, appropriation. The funding enacted for the DMIX initiative was based on an original strategy for the integrated Electronic Heath Record (EHR). This strategy included developing substantial new IT capabilities for the exchange of health care data between DoD, the Department of Veterans Affairs (VA), and private sector care providers, as mandated by the National Defense Authorization Act for FY 2014. Over the past year, the Department performed a technical review of existing DoD data exchange systems and has determined that improving and enhancing these systems would increase data exchange capacity and be a more economical option to meet these requirements. This","15-09_PA_February_2015%20Request.pdf"
"Operation and Maintenance","","","","2016","2016","01","Operating Forces","","General Fund Enterprise Business Systems Family
","24","50","15","15","Funds are available due to a change in the force structure in the Operation SPARTAN SHIELD (OSS) forces in Kuwait. Some OSS forces have been re-missioned to Iraq in support of Operation INHERENT RESOLVE (OIR). As a result, execution of the base funded OSS program has fallen below planned levels. This is base budget funding.","15-09_PA_February_2015%20Request.pdf"
"Operation and Maintenance","","","Army","2015","2009","01","Operating Forces","","Yes
","15","15","01","36,455,236","Funds are available due to the reprioritization of efforts for the Next Generation Enterprise Network and the Cyber Resiliency Plan. This is base budget funding.","15-09_PA_February_2015%20Request.pdf"
"RDTE","","","","2015","2009","02","Research, Development, Test, and Evaluation","","Yes

cmponent Sorat Nobo

ee Ee ee
Congressional Action Approved by Sec Def

po ee
","15","16","02","1,730,536","Funds are available due to a change in the information technology strategy for the Defense Medical Information Exchange (DMIX) initiative. Over the past year, the Department performed a technical review of existing DoD data exchange systems and has determined that improving and enhancing these systems would increase data exchange capacity and be a more economical option to meet these requirements. The current funding levels and mix of appropriations is based on the original strategy for the Integrated Electronic Heath Record ((EHR), which included substantial new development of capabilities. The original strategy included developing a new Clinical Terminology Service, using the Open Health Data Dictionary (HDD) product, developing a Data Management Service to replace the existing data exchange services such as Bidirectional Health Information Exchange (BHIE), and a DoD Adaptor and Virtual Lifetime Electronic Record (VLER) Adaptor. The technical review determined that the current systems were robust enough and stable enough to handle the anticipated workload (i.e., number of transactions per hour) needed to securely and reliably exchange the required health data. Due to some minor configuration changes and cleanup of unused code with the existing BHIE DoD Adaptor, it was proven to support a","15-09_PA_February_2015%20Request.pdf"
"","","","","2015","2009","03","Other Support Equipment","0605301A","Generators and Associated Equip","14","16","03","5,239","Funds are required to procure continuous, clean and uninterrupted power, with associated infrastructure, for 11 Patriot air defense sites located in four countries within the United States Army Central Command (USARCENT) area of operations. Funds will be used to connect Patriot sites to the fixed commercial power grid, and includes 36 backup generators (250kW) if the commercial prime power fails. Currently, the organic Patriot system tactical prime power generators are being used continuously and experiencing reduced readiness rates. Establishing connections to the commercial power grid for prime power generation will reduce the strain on Patriot system equipment and increase readiness rates. If not funded, the heavy organic generator use will continue to degrade equipment and reduce Patriot readiness rates, increasing operational risk. This is a base budget requirement.","15-09_PA_February_2015%20Request.pdf"
"RDTE","","","","2014","2014","02","Modification of Aircraft","0604201A","Yes
","14","16","02","3","Funds are available because of the termination of the Kiowa Warrior Program. This is base budget funding.","15-09_PA_February_2015%20Request.pdf"
"Procurement","","","","2015","2009","02","Weapons and Other Combat Vehicles","","Information System Security Program-ISSP","13","15","02","4","Funds are required to support the procurement of 833,333 Enhanced Performance Magazines (EPM) used in the M4/M4A1 Carbines. The EPM is provided in groups of seven for each Soldier using a carbine weapon system. The purchase will accommodate 119,047 Soldiers. The EPM is required to improve overall system reliability when using a 5.56mm M855A1 round, which is an enhanced round providing increased performance over the M855 ball round. This is a base budget requirement.","15-09_PA_February_2015%20Request.pdf"
"","","","","2015","2009","02","Modification of Aircraft","","Yes
","13","15","02","113,065","Funds are available due to the termination of the Kiowa Warrior Program. This is base budget funding.","15-09_PA_February_2015%20Request.pdf"
"Procurement","","","","2013","2013","01","Ammunition","","","13","15","01","20","Funds are required to procure approximately 586,000 20MM Multi-Purpose Tracer - Self Destruct cartridges to replace rounds expended in Operation IRAQI FREEDOM (OIF)/Operation ENDURING FREEDOM (OEF) operations and OIF/OEF-related pre-deployment training. This is an OCO budget requirement.","15-09_PA_February_2015%20Request.pdf"
"Procurement","","","Army","2015","2008","01","Aircraft","","","13","15","01","58","Funds are available because of the termination of the Kiowa Warrior Program. A total of $40.585 million is available; the remaining balance of $12.6 million is being used as a funding source on the FY 15-08 February Military Intelligence Program (MIP) Prior Approval Reprogramming request. This is Title Ix OCO budget funding.","15-09_PA_February_2015%20Request.pdf"
