"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","","","04","Ordnance Support Equipment","","Strategic Missile Systems Equipment
","15","17","04","201,832","Funds are required for engineering redesign / refresh and testing efforts for the Shipboard System Integration (SSI) Increment 8 Navigator / Electrostatically Supported Gyro Navigator Replacement (ESGN-R). The SSI Increment 8 Navigator / ESGN-R will be installed on the current OHIO Class and is also on the critical path for the OHIO Replacement Program (ORP), as the baseline Shipboard Strategic Weapons System that will be ported over to the ORP. Without this funding, along with $6.675 million requested in Part III, the Initial Operational Capability for the SSI Increment 8 Navigator / ESGN-R will be delayed by up to two years, significantly increasing the risk to the ability of the current OHIO Class to meet strategic deterrence mission requirements, and hinder the design of the OHIO Replacement Program. This is a congressional special interest item. This is a base budget requirement.","15-15_R2_PA_April_2015_Request.pdf"
"","","","","2015","2015","01","Reserve Component Pay Group A Training","0101213F","Yes

omponent Serial Number","345.476","330,376","15","15","Funds are required to support the following program increase: © $+10.0 million for the Special Training program to support the initial cadre stand-up of the KC-46 Reserve Associate unit at McConnell Air Force Base (AFB), Kansas; the transition to the F-35","15-15_R2_PA_April_2015_Request.pdf"
"Operation and Maintenance","","","","2015","2015","01","Operation and Maintenance","","","243,914","15","15","243,914","Funds are required for Private Sector Care budget activity group (BAG 2) to pay for unexpected cost increases in the retail pharmacy program due to an increased demand for expensive compound pharmaceuticals. This is a base budget requirement.","15-15_R2_PA_April_2015_Request.pdf"
"","","","Defense-Wide","2015","2015","04","Ordnance Support Equipment","","Strategic Missile Systems Equipment
","15","17","04","201,832","Funds are available due to rephasing of shipboard system refresh and redesign of the Fire Control System electronics requirements. This is base budget funding.","15-15_R2_PA_April_2015_Request.pdf"
"Operation and Maintenance","","","Navy","2015","2015","01","Operating Forces","0101125F","HASC and SASC Denied
","15","15","01","3,003,986","Funds are available within the Contractor Logistics Support program due to a delay in awarding the C-17 maintenance contract. This is base budget funding.","15-15_R2_PA_April_2015_Request.pdf"
"Operation and Maintenance","","","","2015","2015","01","Operation and Maintenance","","Yes
","243,914","15","15","243,914","Funds are available from the following activities:","15-15_R2_PA_April_2015_Request.pdf"
"","","","","2015","2015","01","Combat Aircraft","","Strategic Missile Systems Equipment
","17","59","14","16","Funds are required for the following increases:","15-15_R2_PA_April_2015_Request.pdf"
"","","","","2015","2015","02","Vehicular Equipment","","Runway Snow Removal and Cleaning Equipment","14","16","02","19","Funds are required to purchase water tankers and fire rescue vehicles, which have reached their end of their service life. Firefighting equipment will replace vehicles that support both crash and structural incidents at installations with nuclear weapons. This is a base budget requirement.","15-15_R2_PA_April_2015_Request.pdf"
"Procurement","","","","","","01","Combat Aircraft","","","14","16","01","22","Funds are available because due to contract savings on the Economic Order Quantity procurement. This is base budget funding.","15-15_R2_PA_April_2015_Request.pdf"
"","","","","2015","2015","07","Aircraft Support Equipment and Facilities","0708610F","Yes
","10,475","364","364","14","Funds are available because the logistics strategy for the B-52 Combat Network Communications Technology (CONECT) shifted to organic, reducing the need for Interim Contract Support. The CONECT was originally planned for 30 aircraft, which drove a purely Contractor Logistics Support strategy. The expansion of CONECT to all B-52s drove the change in the logistics strategy. This is base budget funding.","15-15_R2_PA_April_2015_Request.pdf"
