"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2015","2023","04","Subsistence of Enlisted Personnel","0603827A","The Army currently projects to pay for more training-related subsistence costs than originally projected in","215,676","15","04","2,144,468","Funds are required to pay for higher than budgeted base Subsistence-in-Kind requirements. The Army currently projects to pay for more training-related subsistence costs than originally projected in the budget request. Drivers of this increase include new training missions and the increases in training requirements. This increase is required to fully fund operational ration requirements. This is a base budget requirement. OUSD(C) adjusted to balance to approved sources","15-23_PA_Omnibus_2015_Request.pdf"
"","","","","2015","2015","02","Pay and Allowances of Enlisted","0603506N","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee ee
","165,350","15","15","2.200","Funds are required due to a projected increase in Special Duty Assignment Pay (SDAP) requirements driven by a higher than projected number of recipients. The FY 2015 enacted amount of $83.3 million for SDAP was $3.5 million less than the requested amount of $86.8 million for 26,698 recipients, resulting in 1,007 fewer SDAP recipients. The additional funding will pay for an additional 490 recipients across a number of personnel skills necessary to sustain adequate manning levels throughout the fleet. This is a congressional interest item. This is a base budget requirement.","15-23_PA_Omnibus_2015_Request.pdf"
"","","","","2014","2014","05","Permanent Change of Station","0306250F","Command mission and cyber operations for Joint Worldwide Intelligence Communication systems","541,984","15","15","23.300","Funds are required to finance the projected shortfall in the Rotational Permanent Change of Station travel budget as a result of higher than budgeted rates and increased moves. Due to extensive FY 2014 Force Management reduction actions, an additional movement of personnel is required to balance the placement of personnel at installations around the world to ensure the right skill mix in critical career fields. This is a base budget requirement. SASC Denied $11.7 million","15-23_PA_Omnibus_2015_Request.pdf"
"RDTE","","","","2015","2023","02","Applied Research","","Includes Transfer
Yes
","24,026","19.780","15","16","Funds are required to study and enhance a set of existing capabilities to support a classified Strategic Command Joint Emergent Operational Need. Additional classified details will be provided under separate cover. This is a base budget requirement.","15-23_PA_Omnibus_2015_Request.pdf"
"","","","","2015","2015","02","Pay and Allowances of Enlisted","","Includes Transfer
Yes
","283,260","215","676","15","Funds are available in enlisted pay and allowances due to lower than funded enlisted Active Component average rates. The Army is currently executing an average enlisted composite rate of $61,674 compared to the funded composite rate of $62,234. Lower rates are being observed primarily in the E3-E5 populations. Additionally, Overseas Station Allowances are executing below funded levels due to a cost methodology change to better align Cost of Living Allowances (COLA) with the actual meal consumption, incorporating the most recent data reported by service members for meals eaten at home, on base, and on the local economy. This is base budget funding.","15-23_PA_Omnibus_2015_Request.pdf"
"","","","","2015","2023","01","Pay and Allowances of Officers","0603851M","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","151,561","15","15","01","Funds are available from the following programs:","15-23_PA_Omnibus_2015_Request.pdf"
"","","","","2015","2023","01","Pay and Allowances of Officers","0604429F","Includes Transfer
Yes
","674.684","541,984","15","15","Funds are available from the following programs: © $-70.0 million in officer pay and allowances due to projected underexecution of 423 workyears. Active Air Force budgeted for 61,291 officer workyears; however, current analysis projects a revised requirement of 60,868 workyears. This is base budget funding. $-30.0 million in officer separation pays due to fewer involuntary separations as the Air Force halts the previously planned drawdown in end strength. This is base budget funding.","15-23_PA_Omnibus_2015_Request.pdf"
"Operation and Maintenance","","","","2015","2023","","","","Includes Transfer
Yes
","15","15","106,356","106,356","Funds are available due to actual grant awards being fewer than planned due to shortage of","15-23_PA_Omnibus_2015_Request.pdf"
"","","","","2015","2015","04","Subsistence of Enlisted Personnel","0605035A","Includes Transfer
Yes
","349,269","15","15","25,000","Funds are required in the Subsistence-in-Kind (SIK) program to fully fund in-theater food requirements. Upon the receipt of the FY 2015 appropriation, the Army allocated $56.1 million of the $533.0 million total undistributed overstrength adjustment against this activity. A portion of the undistributed reduction now needs to be restored to finance current SIK estimates through the end of FY 2015. This is an OCO budget requirement.","15-23_PA_Omnibus_2015_Request.pdf"
"Operation and Maintenance","","","","2015","2015","01","Operating Forces","","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee

","526,877","15","15","526,877","Funds are required for the following activities: ° $+463.077 million for higher than budgeted costs for fleet surface ship maintenance resulting from extended deployments supporting U.S. Central Command (USCENTCOM). This includes material","15-23_PA_Omnibus_2015_Request.pdf"
"","","","","2015","2023","02","Pay and Allowances of Enlisted Personnel","","SASC Deferred
","15","15","3","3","Funds are required for the following programs: © $+6.165 million for Reserve Component (RC) manday costs in support of Operation ATLANTIC RESOLVE (OAR). The U.S Air Forces in Europe (USAFE) is tasked with providing an assure and deter presence mission for OAR in support of the European Reassurance Initiative (ERI). The USAFE is unable to fulfill all requirements to support these ERI proposals solely with Active Component military personnel and has requested assistance from the Air National Guard (ANG) and the Air Force Reserve (AFR) and the transfer of some ERI resources to fund the request. This requested manday requirement directly supports the activities of existing ERI proposals to include Persistent Mobility Air Forces Capability, Eastern European Countries Exercise Support and NATO Exercises. This is an OCO budget requirement. The following are the specific costs by budget activity: © $+2.071 million in officer pay and allowances for 4,201 officer mandays o $+3.968 million in enlisted pay and allowances for 17,252 enlisted mandays © $+0.126 million for subsistence of enlisted personnel © $+22.0 million for enlisted pay and allowances due to an additional 367 enlisted workyears for mobilized RC personnel. Active Air Force budgeted for 4,981 enlisted workyears based on an initial officer/enlisted deployment ratio. However, an analysis of the current deployment ratios projects a revised requirement of 5,348 enlisted workyears. This is an OCO budget requirement.","15-23_PA_Omnibus_2015_Request.pdf"
"","","","","2015","2024","01","Pay and Allowances of Officers","","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","659.447","15","15","235,000","Funds are available from the following programs:","15-23_PA_Omnibus_2015_Request.pdf"
