"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2015","2015","03","Training and Recruiting","0305208A","Line Item
Ds GO DG OS","15","15","03","4,403,658","Funds are required to support the Initial Military Training program for cyber and intelligence training. The Army is accelerating Initial Military Training for cyber and intelligence training into","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"","","","","2012","2012","02","Communications and Electronics Equipment","0204311N","Surveillance Towed Array Sensor System (SURTASS)","15","17","02","9,619","Funds are required to procure a Surveillance Towed Array Sensor System (SURTASS) to satisfy an urgent requirement of the combatant commanders (i.e., U.S. European Command, U.S. Northern Command, U.S. Strategic Command) for additional maritime Intelligence, Surveillance, and Reconnaissance (ISR) capabilities in the Atlantic Ocean. The funds would be used to procure a Twinline Towed Array (TL-29), processing equipment, spares for the array, and ancillary equipment that would be installed on a ship of opportunity. The funds also would support shipboard modifications and the required testing in order to deploy the system. This is considered a new start because the last complete Twinline Towed Array (TL-29) was procured in FY 2012. The total cost of this new start is $24.2 million, the requested amount. This is a MIP project. This is a base budget requirement. HAC Denied $10.0 million","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"RDTE","","","","2015","2024","07","Operational System Development","","HPSCI Denied","15","16","07","4,200","Funds are required to study and enhance a set of existing capabilities to support a classified U.S. Strategic Command Joint Emergent Operational Need. Additional classified details will be provided under separate cover. This is a MIP project. This is a base budget requirement.","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"Operation and Maintenance","","","","2015","2015","02","Mobilization 647,670 629,161 -14,872 614,289","","Language Center through reductions to contract foreign language training and the consolidation of remote
","47,724","15","15","02","Funds are available due to a decrease in customer rates charged by the Navy’s Military Sealift Command for preposition ships. In FY 2015, the costs for fuel, per diem, and other charges are lower than what was programmed. Part I of the Omnibus reprogramming action (FY 15-23 PA, page 18) includes an additional reduction of $18.509 million for a total reduction to the Mobilization budget activity of","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"","","","","2015","2015","01","Communications and Electronics Equipment","0603734N","Naval Tactical Command Support System (NTCSS)","15","17","01","19","Funds are available because the planned radar contract award has been delayed due to a change in the LCC 19 Air Search Radar requirements. This is base budget funding.","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"Operation and Maintenance","","","","","","01","Operating Forces","","","15","15","01","26,708,819","Funds are available due to the Department’s decision to allocate 61 surge MQ-1/MQ-9 combat air patrols vice the budgeted 65 surge combat air patrols. This is a MIP project. This is base budget funding.","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"Operation and Maintenance","","","Air Force","2015","2023","01","Operation and Maintenance","","Congressional Action Approved by Sec Def

po","15","15","11,000","01","Funds are available due to reduced costs and schedule improvements for facility closure operations and contract closeout at the chemical agent demilitarization facility at Tooele, Utah, and reduced costs for contract closeout due to schedule improvements at Anniston, Alabama. Part I of the Omnibus reprogramming action (FY 15-23 PA, page 32) includes an additional reduction of $2.7 million for a total reduction of $13.7 million. This is base budget funding.","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"Operation and Maintenance","","","","2015","2024","01","Operating Forces","","Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def
","15","15","8,000","01","Funds are required for the following programs:","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"Operation and Maintenance","","","","2015","2015","","","","HPSCI Denied
Classified Program
","15","15","7,485,345","7,485,345","Funds are required for the following activities: © $+30.0 million to sustain five airborne ISR platforms supporting U.S. Central Command. These platforms provide mission critical collection capabilities. Additional classified details will be provided under separate cover. This is a MIP project. This is an OCO budget requirement.","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"Operation and Maintenance","","","Defense-Wide","2015","2023","01","Operating Forces","","Inspection and Repair being lower than budgeted due to continued drawdown of end strength and closure","40","000","15","15","Funds are available due to requirements for Reset Depot Maintenance and Special Technical Inspection and Repair being lower than budgeted due to continued drawdown of end strength and closure of forward operating bases in Afghanistan. Part II of the non-MIP Omnibus reprogramming action","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"Operation and Maintenance","","","","2014","2014","","","","Congressional Action Approved by Sec Def
po ee","500","15","15","500","Funds are available from classified programs. Additional classified details will be provided under separate cover. These are MIP projects. This is Title XX OCO budget funding.","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"Procurement","","","Defense-Wide","","","02","Communications and Electronics Equipment","","Congressional Action Approved by Sec Def

po ee

","14","16","02","1,512","Funds are required to support the following high-priority U.S. Army Intelligence and Security Command (INSCOM) efforts: © $+10.311 million for the procurement and installation of equipment associated with the","15-24_PA_Omnibus_2015_MIP_Request.pdf"
"","","","","2014","2014","03","Electronics and Telecommunications Equipment","","Force to convert the highly classified operation mission data from the classified GEO host in a manner that","14","16","03","4,415","Funds are required to procure one ground receiver in order to provide a cross domain solution that will allow for the transmission of classified Geosynchronous Earth Orbit (GEO) data on the Nuclear Detonation Detection System within the United States. This ground receiver will allow the Air Force to convert the highly classified operation mission data from the classified GEO host in a manner that can be transmitted over the Secret Internet Protocol Router Network to provide reporting, characterization, and location information for near-real-time nuclear detonations in support of U.S. Strategic Command, U.S. Northern Command, Department of State, and other classified customers. This is a MIP project. This is a base budget requirement.","15-24_PA_Omnibus_2015_MIP_Request.pdf"
