"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2017","2016","01","Reserve Component Training and Support","0604798A","Includes Transfer
Yes
","375,583","524,822","17","17","Funds are required for the following:","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2016","05","Permanent Change of Station Travel","0603502N","Includes Transfer
Yes
","354,817","308,254","17","17","Funds are required to resource adequate lead time for Sailors to receive Permanent Change of Station (PCS) orders to provide sufficient time to plan for the movement of family members and household goods. The additional funds will achieve the Navy’s goal of 6-months lead time for PCS notification, will minimize the short-notice impact on Fleet readiness, allow for career milestone management, reduce family turbulence, support global assignment rotations and critical readiness fills, minimize gaps at sea for deploying units and those units preparing to deploy, and keep the training pipelines flowing. Current funding levels have resulted in Sailors' receipt of orders, on average, of one month prior to actual move for shore duty. In many cases, Sailors have been required to remain on station longer until funds were available. The additional funding will resource additional moves to achieve the optimal PCS notification lead time, including 5,841 Training Travel moves, 11,234 Operation Travel moves between duty stations, and 9,761 Rotational Travel moves to and from overseas locations. This is a base budget requirement.","17-16_PA_June_2017_Request.pdf"
"Operation and Maintenance","","","","2017","2017","01","Operating Forces","0308602F","Includes Transfer
Yes
","152,538","17","17","27,300","Funds are required to immediately initiate the elevation of U. S. Cyber Command (USCYBERCOM) to a Combatant Command consistent with section 923 of the National Defense Authorization Act for Fiscal Year 2017. The funds are required for additional contract and civilian personnel, facilities and security for Unified Command Plan missions transferred from U. S. Strategic Command to USCYBERCOM and new Major Headquarters, Joint Force Provider, and Joint Force Trainer functions to be accomplished by USCYBERCOM. This is a base budget requirement.","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2017","01","Major Equipment","0604874C","Includes Transfer
Yes
","17","19","01","2,964","Funds are required to support critical infrastructure improvements for compute and data storage capability to improve the Defense Contract Audit Agency network and bandwidth, and to accommodate increased data traffic associated with consolidated servers and new audit software. The updated infrastructure replaces and consolidates over 250 remote servers into two locations. With the upgrades, multiple auditors and audit managers will have the capability to directly access prior audit packages, work audits, perform real-time reviews, maintain audit oversight, and permit progress transparency, all simultaneously on the same audit. This is a base budget requirement.","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2016","02","Pay and Allowances of Enlisted","0604818A","Includes Transfer
Yes
","75,583","522,622","17","17","Funds are available from the following programs:","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2016","01","Pay and Allowances of Officers","0603748N","Includes Transfer
Yes
","294,219","17","17","110,000","Funds are available from the following programs:","17-16_PA_June_2017_Request.pdf"
"Procurement","","","","2017","2017","04","Other Aircraft","0604735F","SASC Denied
","17","19","04","1","Funds are available due to restructuring of the UH-1N Replacement program to allow additional development. This resulted in an 18-month slip in production. In the FY 2017 DoD Appropriations Act, the Congress added $75.0 million to the Aircraft Procurement, Air Force (AP,AF), appropriation to accelerate procurement of the UH-1N replacement helicopter. Execution of this funding in the Research, Development, Test, and Evaluation, Air Force (RDT&E,AF) appropriation is required to be consistent with congressional intent and will support the purchase of four test article helicopters and associated efforts. This is a congressional interest item. This is base budget funding.","17-16_PA_June_2017_Request.pdf"
"Operation and Maintenance","","","","2017","2017","04","Administrative and Servicewide Activities","","Defense Contract Audit Agency
","128,637","17","17","4","Funds are available due to the one-time FY 2017 adjustment resulting from the reclassification of 414 reimbursable-funded civilian full-time equivalents (FTEs) to direct-funded FTEs and the delayed hiring as a result of the 90-day hiring freeze. This is base budget funding.","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2016","01","Pay and Allowances of Officers","0605051A","Includes Transfer
Yes
","194,400","154,700","17","17","Funds are required due to higher-than-projected Mobilized Reserve Component officer strength levels. The Army currently projects execution of 4,916 officer workyears compared to the funded request of 3,902 workyears. This is an OCO budget requirement.","17-16_PA_June_2017_Request.pdf"
"Procurement","","","","2017","2016","01","Ammunition","0604287F","Includes Transfer
Yes
","17","19","01","234,067","Funds are required to address a Joint Urgent Operational Need (JUON) to counter the threat of Unmanned Aerial Systems (UAS) in support of Combined Joint Task Force-Operation INHERENT RESOLVE. The Joint Staff validated this requirement (JUONS CC-0558). This funding protects assets from the evolution of small UAS based on low cost, extensive proliferation, and availability in the commercial market place. Additional details are classified and will be provided upon request. The total request in support of CC-0558 in this reprogramming action is $184.9 million: $1.0 million on page 27;","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2016","01","Pay and Allowances of Officers","","Includes Transfer
Yes
","139.100","17","17","139,100","Funds are available in officer Basic Allowance for Housing (BAH) due to average rates executing lower than budgeted. The Army is currently executing an average officer BAH composite rate of $27,526 per officer compared to the average budgeted rate of $35,636. This is Title IX OCO budget funding.","17-16_PA_June_2017_Request.pdf"
