"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2018","2017","01","Operating Forces","0603004A","Yes
","444","740","1,343.480","18","Funds are required for the following activities: © $+94.237 million to support increased home station training and equipment maintenance to increase unit and equipment readiness. This is a base budget requirement. $+81.0 million for increased unit rotation training for Focused Ready Units and transportation of equipment to the forces on the Korean Peninsula to sustain and increase their readiness levels. This is a base budget requirement. $+30.769 million to meet the Army’s annual training guidance by providing units and commands supplemental training guidance and equipment maintenance standards to sustain a decisive action training tempo. This ensures that Army forces are ready to meet Combatant Commanders’ require- ments, and equipment and supply stocks are adequately maintained. This is a base budget requirement. DD 1415-1 UNCLASSIFIED","18-17_PA_June_2018_Omnibus_Request.pdf"
"","","","","","","02","Pay and Allowances of Enlisted","","This action is necessary to fully utilize training capacity as ","434","144","353,860","18","Funds are required for the following activities:","18-17_PA_June_2018_Omnibus_Request.pdf"
"","","","Navy","2018","2018","","","0603801N","Yes
","201","8","4,000","162","Funds are required for an additional 110 drill periods due an increase in drill participation and an increase of 4,800 mandays to support critical operational support and training to Commander Third Fleet's Rim of the Pacific (RIMPAC) exercises. This is a base funding requirement","18-17_PA_June_2018_Omnibus_Request.pdf"
"Procurement","","","","2018","2017","01","Procurement of Ammo, Air Force","0604858F","Joint Direct Attack Munition
","536","123","449,230","18","Funds are required to restore funding for the planned procurement of illuminating and infrared flares and smoke warheads. The Air Force redirected $9 million to procure the M282A2 warheads to support validated Urgent Operational Need (UON) to defeat threats that require a penetrating warhead with Advanced Precision Kill Weapon System II (APK- WS) rockets in U.S Pacific Command area of operation. The M282A2 warhead qualification with the APK WS II rocket was completed in March 2018. This is a base budget requirement.","18-17_PA_June_2018_Omnibus_Request.pdf"
"Operation and Maintenance","","","","2018","2018","04","Administration and Servicewide Activities","0603176C","Defense Security Service","461,460","18","18","52.400","Funds are required for operational costs associated with the establishment of DoD’s Background Investigation mission at the Defense Security Service (DSS). Section 925 of the FY 2018 NDAA directed the mission transfer from the National Background Investigations Bureau to DSS. The funds will provide manpower, facilities, IT support, tools, and program management critical to the successful transition of the DoD personnel vetting mission. This is a base budget requirement.","18-17_PA_June_2018_Omnibus_Request.pdf"
"","","","","2018","2018","01","Pay and Allowances of Officers","0604804A","Yes
","1,601,599","1,544,316","18","18","Funds are available from the following programs:","18-17_PA_June_2018_Omnibus_Request.pdf"
"","","","","2018","2017","01","Pay and Allowances of Officers","0604366N","Yes
","423,849","353,860","18","18","Funds are available from the following programs:","18-17_PA_June_2018_Omnibus_Request.pdf"
"","","","","2018","2017","01","Pay and Allowances of Enlisted Officers","0604776F","Yes
","820.420","601,094","18","18","Funds are available from the following programs:","18-17_PA_June_2018_Omnibus_Request.pdf"
"Operation and Maintenance","","","","2018","2017","01","Operation and Maintenance","0603890C","Yes
","18","18","01","31,918,359","Funds are available from the Consolidated Health Support budget subactivity due to both,","18-17_PA_June_2018_Omnibus_Request.pdf"
"Operation and Maintenance","","","","2017","2017","01","Operating Forces","","","18","18","01","38,894,011","Funds are required for the following activities:","18-17_PA_June_2018_Omnibus_Request.pdf"
