"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2019","2009","01","Operating Forces","0604601A","Funds will enable the Army to meet the Army training standards by resourcing individual and","386,060","306,383","19","19","Funds are required for the following programs: © $+98-683 $4+51.439 million to support the Army's readiness by resourcing fuel, parts, and equipment. Funds will enable the Army to meet the Army training standards by resourcing individual and collective training events, field training exercises, maneuver exercises, and live fire exercises to be prepared for deployments. Funds will support the Army's ability to meet the Combatant Commands' requirements, maintain equipment, and optimize the equipment readiness by sustaining the repair parts in the shop stocks. Without additional funds, the Army will fail to achieve and sustain readiness across its formations. This is a base budget requirement. $+0.690 million to support the Armor One Station Unit Training (OSUT) extension. The OSUT Program of Instruction (POI) redesign is required to improve lethality, mental and physical toughness, and field condition acculturation for Armor (AR) Initial Entry Training (IET) Soldiers. The revised POI increases the training from 15 weeks to 22 weeks resulting in increased troop density and days per range. Additional funds will be used towards AR OSUT training supplies such as additional barricade DD 1415-1 UNCLASSIFIED","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2019","2009","01","Operating Forces","","Navy cancelled the request
","564,088","382,919","2","1","Funds required for the following programs:","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2017","2017","01","Operating Forces","0605826F","Yes
","248,883","238,883","19","19","Funds are required for the following efforts:","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2017","2017","01","Operating Forces","0604182A","Special Operations Command","489,511","19","19","1,200","Funds are required for the following activities: © $+1.2 million Funds are required to support increased Security Cooperation (SC) activities managed","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2019","2019","02","Pay and Allowances of Enlisted","0604319A","Yes
","246","150","198,906","19","Funds are available from the clothing allowances, due to a reduction in the number of accession-related uniform purchases and an overall decrease to uniform replacement and allowance requirements. This is base budget funding.","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"","","","","2019","2019","02","Pay and Allowances of Enlisted","0603527N","HASC Denied","381,319","19","19","02","Funds are available in the Basic Housing Allowance (BAH) program due to a reduction in number of enlisted members receiving BAH with Dependents. This is base budget funding.","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2019","2019","01","Operating Forces","0101125F","Yes
","414,832","19","19","01","The Air Force received a Congressional add for additional Weapon System Sustainment funding for the U-2. Unfortunately, the funding was appropriated in SAG 11M (Depot Purchase Equipment Maintenance) when the work must be completed under SAG 11W (Contractor Logistics Support). Therefore, to complete this work without negatively affecting other Weapon System Sustainment requirements, the funding and associated Congressional limitation must be re-aligned from SAG 11M to SAG 11W. This is base budget funding.","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2017","2017","04","Administration and Servicewide Activities","","Defense Security Cooperation Agency","442","772","19","19","Funds are available due to funding for FY 2017 NDAA reform responsibilities that were included in the Defense Security Cooperation Agency's (DSCA) FY 2019 budget request. This action reprograms funding from DSCA to the geographic combatant commands and military departments to execute assessment, monitoring, and evaluation requirements mandated by section 383 of Title 10, U.S. Code. This is base budget funding.","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"","","","","","","02","Pay and Allowances of Enlisted","","","161,025","19","19","119.869","Funds are required in Enlisted Pay and Allowances due to an increase of approximately 3,000 projected enlisted reserve component mobilizations. The Army is projecting an average strength of 22,500 for mobilized enlisted Soldiers compared to the budgeted average of approximately 19,500. This is Title Ix OCO budget funding.","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"","","","","2018","2018","07","Personnel and Command Support Equipment","","Yes
","28,000","19","21","28,000","Funds are required for procuring Situation Awareness System sensors that will be installed on Military Sealift Command (MSC) ships. The FY 2018 Emergency and Overseas Contingency Operation Amendment Request and the FY 2019 Overseas Contingency Operation Request included procuring and installing Situation Awareness System sensors in Operation and Maintenance, Navy. Upon further review it","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2019","2019","01","Operating Forces","","","90.208","19","19","90,208","Funds are required to pay for OCO mission shortfalls in Air Combat Command, AF Central Command, and AF Materiel Command, to include costs for the Afghanistan Security Forces CONUS program management office. ACC and AFCENT requirements includes Unmanned Aerial System contracts supporting MQ-1, MQ-9, and RQ-4 platforms, Signal Intelligence support contract for collection, processing,","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"","","","","2019","2009","01","Pay and Allowances of Officers","","Yes
","136,025","19","19","119,869","Funds are available for reprogramming in Officer Pay and Allowances due to a reduction of approximately 300 projected officer reserve component mobilizations. The Army is projecting an average strength of 6,000 officers compared to the budgeted average of 6,300. This is Title IX OCO budget funding.","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2018","2018","01","Operating Forces","","NAVY DECREASE
","19","19","01","46,057,511","Funds are available to be reprogrammed to the Other Procurement, Navy appropriation for proper execution of Situation Awareness System sensors that will be installed on MSC ships. The FY 2018 Emergency and Overseas Contingency Operation Amendment Request and the FY 2019 Overseas Contingency Operation Request included procuring and installing Situation Awareness System sensors in Operation and Maintenance, Navy. Upon further review it was determined specific MSC ships would require multiple sensors, pushing the cost above the expense threshold for Operations and Maintenance and requiring","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"","","","Navy","2017","2017","05","Modification of Inservice Aircraft","","AIR FORCE DECREASES
","19","21","05","149,778","Funds are available from the C-130J budget activity due to costs being lower than originally estimated. The funding is for the acquisition of for C-130J Large Aircraft Infrared Counter-Measure (LAIRCM) Block 30 kits. There are no other known requirements for the funding at this time and no major impacts to the program. This is Title IX OCO budget funding.","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2019","2009","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASE
","19","20","04","1,184,899","Funds are available from the Coalition Support Fund (CSF) due to no projected claims for reimbursement from key cooperating nations. The Department has preserved some CSF for projected Coalition Readiness Support Program requirements and Jordan border security reimbursements. This is","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","","","01","Operating Forces","","ARMY INCREASE
","19","19","01","43,457,906","Funds are required to restore funding to the Operation and Maintenance, Army (OMA) for the reduction included in section 8132 (excess cash balances in the Department of Defense Working Capital Funds) of division A of Public Law 115-245, the Department of Defense Appropriations Act, 2019. Once reprogrammed, funds will support the Army's readiness and operation by resourcing for fuel, parts, and equipment. Funds will enable the Army to meet the Army training standards by resourcing for individual and","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2019","2019","02","Mobilization 2,719,214 2,719,214 +273,290 2,992,504","","Yes
","334,003","19","19","273,290","Funds are required to remedy an Airlift Readiness Account (ARA) shortfall that has been driving the Transportation Working Capital Funds (TWCF) dangerously close to a zero cash balance on a consistent basis. The Air Force is the executive agent for TWCF cash and the Air Force Working Capital Fund (AFWCF) would be required to cover any cash disbursements in the event TWCF becomes","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"","","","","2019","2019","01","Major Equipment","","","25,000","19","21","25,000","These funds are being transferred for incentive payments authorized by the Indian Financing Act of 1974 in accordance with section 8020 of the DoD Appropriations Act of 2019. This is a base budget requirement.","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"","","","Defense-Wide","","","02","Communications and Electronics Equipment","","ARMY DECREASE
","19","21","02","126,038","-","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"RDTE","","","Army","","","05","System Development and Demonstration","0604777N","NAVY DECREASE
","19","20","05","060","-","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
"","","","Army","2019","2009","03","Electronics and Telecommunications Equipment","0401132F","AIR FORCE DECREASES

HASC Denied","19","21","03","19,424","-","19-09_PA_Omnibus_2019_Request-FINAL-9-30-19.pdf"
