"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2019","2010","02","Modification of Aircraft","","Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def

ee

","60,000","19","21","60,000","Funds are required for the modification of 24 Gray Eagle Extended Range (GE ER) aircraft with A-PNT, Avionics Re-architecture, and Datalink Mod kits. These upgrades provide Modular Open | Systems architecture, the ability to survive, persist, and thrive in GPS-denied environments, and Multi-band | | and spread spectrum SATCOM Datalinks for two GE ER companies. This is a MIP project. This is a base | budget requirement. 4 Approved (Signature and Date) #/ mrt Nea","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","","","01","Operating Forces","","Classified Programs
","19","19","01","2,500","Funds are required for a classified effort. Additional classified details will be provided under separate cover. This is a MIP project. This is a base requirement.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"RDTE","","","Air Force","2019","2019","06","Management Support","0305327V","Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def

po eT
","19","20","06","060","Funds are required for JEON (JS-0002) to improve access to data repositories and develop analytic capabilities necessary to support analysis of DoD related data. This is a MIP project. This is a base budget requirement.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","2019","2010","04","Administration and Servicewide Activities","","Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def

ee

","64,600","19","19","4,600","Funds are available due to reduced requirement for Army background investigations sent externally to the National Background Investigations Bureau (NBIB). Funds can be realigned to support investigative activities at DSS and will produce the equivalent number of investigations benefit on behalf of the Army. This is not a MIP Project. This is base budget funding.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","NAVY DECREASE
","19","19","04","4,199,990","Funds are available due to reduced requirement for Navy background investigations sent externally to the National Background Investigations Bureau (NBIB). Funds can be realigned to support investigative activities at DSS and will produce the equivalent number of investigations benefit on behalf of the Navy. This is not a MIP Project. This is base budget funding.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","Navy","","","04","Administration and Servicewide Activities","","AIR FORCE DECREASES
","19","19","04","5,022,030","Funds are available due to reduced requirement for Air Force background investigations sent externally to the National Background Investigations Bureau (NBIB). Funds can be realigned to support investigative activities at DSS and will produce the equivalent number of investigations on behalf of the Air Force. This is not a MIP Project. This is base budget funding.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"Operation and Maintenance","","","Air Force","2017","2017","04","Administration and Servicewide Activities","","Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def
pe i iT
","10,227","19","19","1,900","Funds are available from a classified effort. Additional classified details will be provided under separate cover. This is a MIP project. This is base budget funding.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"","","","","2019","2010","02","Communications and Electronics Equipment","0303028A","Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def

es co
","79","19","21","2,200","Funds are required to procure a compact, powerful, software-defined radio transceiver system to provide the ability to detect, intercept and monitor advance civilian cellular technology. This software- defined radio technological advancement has the capacity for processing complex emerging protocols, such as Long-Term Evolution (LTE) and High Speed Packet Access (HSPA+). This is a new start. This is a MIP project. The total cost of this new start effort is $2.2 million. This is an OCO budget requirement.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"RDTE","","","","2019","2019","07","Operational Systems Development","0305600F","AIR FORCE INCREASE
","19","20","07","030","Funds are required for a classified effort. Additional classified details will be provided under separate cover. This is a MIP project. This is an OCO budget requirement.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"RDTE","","","Air Force","","","03","Other Support Equipment","0603747A","ARMY DECREASES
","19","21","03","29,879","Funds are available due to reduced validated requirements needed to support the mission. This is Title IX OCO budget funding.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"","","","Army","2019","2019","05","Modification of Aircraft","","Program Base Reflecting Program Previously Reprogramming Action Revised Program
Congressional Action Approved by Sec Def

po eT","3,100","19","21","3,100","Funds are available due to technical issues being discovered with the electro-optical/infrared (EO/IR) turret during integration testing. Due to these technical issues, the program will purchase two less RQ-21 kits in FY 2019. This is a MIP project. This is Title X OCO budget funding.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"","","","Navy","2019","2019","02","Modification of Aircraft","","ARMY INCREASE
","18","20","8.400","02","Funds are required for Common Sensor Payload (CSP) retrofit of the remaining twenty-two (22) standard definition payloads to high definition payloads, thereby achieving full fleet high definition capability. High definition allows commanders to identify High Value Individual (HVJ) targets at sufficient standoff range, which directly supports the targeting process, and provides significantly enhanced situational awareness across the spectrum of combat operations. The FY 2019 budget request for six (6) battle damage replacement CSP systems, which was reduced by $11.4 million in the FY 2019 enactment, is a separate","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
"","","","","","","02","Communications and Electronics Equipment","","ARMY DECREASE
","18","20","02","22,275","Funds are available due to an Army decision to reduce the requirement for the acquisition of Cellular Exploitation Kits and Document Exploitation Kits for the Counter Intelligence and Human Intelligence Automated Reporting and Collection System (CHARCS). Funding is available for the higher priority Army requirements. This is a MIP project. This is Title IX OCO budget funding.","19-10_PA_Omnibus_MIP_2019_Request-FINAL-9-30-19.pdf"
