"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","","","01","Operating Forces","","ARMY INCREASES","19","19","7,900","01","Funding. will be used to deploy a secure bilateral network to share intelligence, surveillance | and reconnaissance (ISR) with strategic partners in a COCOM area of responsibility. This is an OCO","19-17_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","","2019","2017","01","Operating Forces","","Yes
","6,240","19","19","6,240","Funds are required for the following efforts:","19-17_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","","2019","2017","01","Operating Forces","","AIR FORCE INCREASES
","19","19","01","1.5","Funds are required for the following efforts: e $+1.5 million to operate and maintain upgraded artificial intelligence and machine language","19-17_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","","2019","2017","01","Operating Forces |","","Yes
","7","31,524","19","19","Funds are requited for the following efforts: © $+2.05 million to install a SIGINT system into an aircraft and to perform lifecycle sustainment with - upgrades .o a ground SIGINT system. This is an OCO budget. requirement.","19-17_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","","2019","2019","04","Administration and Servicewide Activities 7","","DEFENSE-WIDE DECREASE","19","19","04","7","Funds are available for transfer under section 9018 of the DoD Appropriations Act, 2019, | provided additional funds to improve the intelligence, surveillance, and reconnaissancé capabilities of the DoD. This is Title IX OCO budget funding. PART I | FY 2019 REPROGRAMMING INCREASES: +187,814 |","19-17_IR_ISR_Transfer.pdf"
"","","","Defense-Wide","2019","2019","","","","ARMY INCREASES
","19","21","11.4","4.0","Funds are required for the following efforts: | e° $+11.4 million to deploy a secure: bilateral network to share ISR with strategic partners ina COCOM | area of responsibility. A secure bilateral ISR sharing network mitigates. shortfalls:in collaborative","19-17_IR_ISR_Transfer.pdf"
"","","","","2019","2017","02","Communications & Electronics Equipment","","NAVY INCREASES
","19","21","02","19,009","Funds are-required for the following efforts:","19-17_IR_ISR_Transfer.pdf"
"","","","","2019","2017","05","Modification of In-Service Aircraft","","AIR FORCE INCREASES
","19","21","05","9","Funds will be used to procure hardware for artificial intelligence and machine learning","19-17_IR_ISR_Transfer.pdf"
"","","","","2019","2017","01","Major Equipment","","Yes","90,796","19","21","90,796","Funds will be used to procure and install a cloud-enabled node in a COCOM to provide | geospatial content and GEOINT visualization, discovery, and analysis applications to support a COCOM. | These applications and content will provide basic data and services for combined analytical activities, : | ensure necessary linkages to the processes and capabilities on relevant U.S. networks, and transmit ISR data | | in near real time. This isa MIP project. This is an OCO budget requirement. |","19-17_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","PART II","187,814","19","19","718","Funds are available for transfer under section 9018 of the DoD. Appropriations Act, 2019, | provided additional funds to improve the intelligence, surveillance, and reconnaissance capabilities of the DoD. This is Title IX OCO budget funding. PART II | F¥ 2018 REPROGRAMMING INCREASE: |","19-17_IR_ISR_Transfer.pdf"
"","","","Defense-Wide","2019","2017","02","Special Operations Command","","DEFENSE-WIDE INCREASE","18","20","22,500","02","Funds will provide six government owned SIGINT sensors for use aboard Contractor-Owned, | Contractor-Operated (COCO) OCO Airborne ISR systems for missions in a CCMD. This is a MIP project. | This is an OCO budget requirement.","19-17_IR_ISR_Transfer.pdf"
"","","","","2018","2018","02","Special Operations Command |","","DEFENSE-WIDE DECREASE
","18","20","02","94,538","Funds-ate available due to the decision to discontinue the originally planned SIGINT sensor","19-17_IR_ISR_Transfer.pdf"
