"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2020","2014","03","Training and Recruiting","0603464A","Ex

HAC Denied","240","771","5","231,601","Funds are required to support Army flight training to mitigate the readiness risk resulting from the Army's pilot shortage. Funding supports rotary wing flight instructor support, repair parts, fuel! simulations, and maintenance of Army flight training aircraft. Without additional funding, the aviation readiness levels will degrade as the Army will continue to have a pilot deficit across the Army's aviation__ formations. Additionally, lack of funding will impact the graduate pilot course, which generates the Army's","20-14_PA_August_2020_Request_Final.pdf"
"","","","","2020","2014","01","Pay and Allowances of Officers","","Yes
Component Serial Number (Amounts in Thousands of Dollars)","284,002","20","20","84,300","Funds are required for over execution of 90 officer work years due to stronger than estimated retention.","20-14_PA_August_2020_Request_Final.pdf"
"Operation and Maintenance","","","","2020","2020","01","Operating Forces","","Yes
Component Serial Number (Amounts in Thousands of Dollars)","385,777","483,977","20","20","Funds are required for the following efforts: eo $+185.5 million to fund Base Operating Support (BOS) shortfalls associated with mission critical","20-14_PA_August_2020_Request_Final.pdf"
"Operation and Maintenance","","","","2020","2014","01","Operating Forces","","DEFENSE-WIDE INCREASES
","20","20","01","9,661,699","Funds are required for the following:","20-14_PA_August_2020_Request_Final.pdf"
"","","","","2020","2020","01","Reserve Component Training and Support","0604115A","Explanatio
","231,601","20","20","01","Funds are available due to fewer enlisted soldiers who transitioned from the Active _ Component or Individual Ready Reserve participating in the Affiliation Bonus program. Troop Program Unit soldiers are reenlisting for shorter periods (two or three months) rather than the projected 12-month","20-14_PA_August_2020_Request_Final.pdf"
"","","","","2020","2014","02","Pay and Allowances of Enlisted","","Component Serial Number (Amounts in Thousands of Dollars)","310","481","284,002","20","Funds are available from the following programs: © $-129.3 million ($-80.0 million for Omnibus requirements) due to under-execution of 1,892 enlisted","20-14_PA_August_2020_Request_Final.pdf"
"Operation and Maintenance","","","","2020","2020","01","Operating Forces","","Yes
Congressional Action Approved by Sec Def
po i
","483,977","20","20","423,400","Funds are available from the following programs: © $-131.0 million due to fuel savings from an OSD reduced fuel rate from $124.32 per barrel to $99.12 per barrel effective 1 June 2020. This is base budget funding. $4540 $-146.2 million due to COVID-19 response/mitigation, Air Force has reduced the amount of flying hours flown. This is base budget funding. OUSD(C) balanced to approved requirements $-130.0 million for Air Force support to Combatant Command exercises is centrally budgeted in SAG 011A. However, an average of $110 million per year is executed in other SAGs based on Combatant Command needs. For FY 2020, funding needs to be migrated out of 011A into other SAGs to sustain these operational expenses. In the future, Air Force will seek to align programmed dollars to the DD 1415-1 UNCLASSIFIED","20-14_PA_August_2020_Request_Final.pdf"
"Operation and Maintenance","","","","2020","2014","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASES
","20","20","04","900,028","Funds are available from the Personnel Security Investigations for Industry activity due to lower than expected investigation requirements resulting from lower demand for industry investigations since the onset of COVID-19 as well as a continued increase in the shift of applicants to the Continuous Evaluation process. This is base budget funding. OUSD(C) balanced to approved requirements Defense Security Cooperation Agency (DSCA","20-14_PA_August_2020_Request_Final.pdf"
"Operation and Maintenance","","","","2020","2020","01","Operating Forces","","","352,000","20","20","352,000","Funds are required due to a programmatic error based on an unrealized force reduction in the Area of Responsibility (AOR). This error caused a shortfall in funding Command and Control, Communications and Computer requirements. This is an OCO budget requirement.","20-14_PA_August_2020_Request_Final.pdf"
"Operation and Maintenance","","","","2020","2014","01","Operating Forces","","DEFENSE-WIDE INCREASES
","20","20","01","9,661,699","Funds are required for the following efforts: © $+6.5 million to support a 1PL6 - Combat Development Activities classified effort. Additional details will be provided under separate cover. This is an OCO budget requirement. DD 1415-1 UNCLASSIFIED","20-14_PA_August_2020_Request_Final.pdf"
"Operation and Maintenance","","","","2020","2020","01","Operating Forces","","Component Serial Number (Amounts in Thousands of Dollars)","397","000","352,000","20","Funds are available from the following programs:","20-14_PA_August_2020_Request_Final.pdf"
