"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2020","2040","01","Reserve Component Training and Support","","Approved (Signature and Date)","160,088","20","20","156,188","Funds are returned to National Guard Personnel, Army, after being previously transferred to the following accounts pursuant to Section 13001 of the CARES Act as the funds are no longer required: © $+109.162 million from Military Personnel, Army, 20/20 © $+11.000 million from Military Personnel, Navy, 20/20 © $+2.163 million from Other Procurement, Army, 20/22 © $+33,863 million from Research, Development, Test, and Evaluation, Army, 20/21 This is CARES Act division B, Title II, funding.","20-40_IR_CARES_Act_July_2020.pdf"
"RDTE","","","","2020","2040","03","Advanced Technology Development","","DEFENSE-WIDE INCREASES
","20","21","03","060","Funds are being moved from Budget Activity 02 to support advanced development of diagnostics and medical research for development of vaccines and anti-viral medicines. This isa CARES Act division B, Title III, requirement.","20-40_IR_CARES_Act_July_2020.pdf"
"","","","","2020","2040","01","Pay and Allowances of Officers","0605601A","ARMY DECREASES
","20","20","01","14,140,349","Funds are no longer required in Officer Pay and Allowances due to a reduction in officer reserve component (RC) workyears (WYs) previously projected to be placed on active duty orders for COVID-19 mobilizations. Funding in support of operations using 10 U.S.C 12302 is no longer necessary to fully support COCOM COVID-19 response efforts (e.g., support medical, emergency response and other COCOM requirements).","20-40_IR_CARES_Act_July_2020.pdf"
"","","","","","","05","Permanent Change of Station","","NAVY DECREASE
","20","20","05","870,345","Funds are available for transfer due to lower than originally estimated Household Goods (HHG) shipment costs related to USTRANSCOM’s 10 percent surcharge on HHG shipments processed under the Stop Movement Order for COVID-19. This isa CARES Act division B, Title III, funding.","20-40_IR_CARES_Act_July_2020.pdf"
"RDTE","","","Navy","2020","2020","02","Applied Research","","DEFENSE-WIDE DECREASES
","20","21","02","060","Funds are being moved from Budget Activity (BA) 02 to BA 03 to support advanced development of diagnostics and medical research for development of vaccines and anti-viral medicines. This is CARES Act division B, Title III, funding.","20-40_IR_CARES_Act_July_2020.pdf"
"Operation and Maintenance","","","","2020","2040","01","Operating Forces","0605457A","Yes
","269,188","20","20","258,225","Funds are required for the following efforts:","20-40_IR_CARES_Act_July_2020.pdf"
"Operation and Maintenance","","","","","","01","Operating Forces","","NAVY INCREASE
","20","20","01","48,414,011","Funds are required for the following efforts:","20-40_IR_CARES_Act_July_2020.pdf"
"","","","Navy","2020","2040","02","RDT&E 869,430 869,430 +14,900 884,330","","Yes
","14,900","20","21","14,900","Funding is required to cover un-forecasted requirements a result of COVID-19 impacts and required Centers for Disease Control & Prevention (CDC) actions to maintain both Pueblo Chemical Agent- Destruction Pilot Plant (PCAPP) and Blue Grass Chemical Agent-Destruction Pilot Plant (BGCAPP) operational. At PCAPP, the additional funding will cover $2.243 million for hazardous duty","20-40_IR_CARES_Act_July_2020.pdf"
"","","","","","","01","Reserve Component Training and Support","","ARMY DECREASE
","20","20","01","9,342,922","Funds are available as a result of less-than-anticipated requirements for CARES Act funds including:","20-40_IR_CARES_Act_July_2020.pdf"
"Operation and Maintenance","","","","","","01","Operation and Maintenance","","DEFENSE-WIDE DECREASE
","20","20","01","35,900,452","Funds were returned to Defense Health Program, after being previously transferred to Research Development, Test, and Evaluation, pursuant to Section 13001 of the CARES Act, as the funds are no longer required. This is CARES Act division B, Title IIT, funding.","20-40_IR_CARES_Act_July_2020.pdf"
