"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2022","2044","01","Pay and Allowances of Officers","","ARMY INCREASES
","22","22","01","15,055,324","Funds are required in Officer Pay and Allowances due to an increase in officer mobilizations over the initial projected amount due to ongoing requirements in European Command (EUCOM) Area of Responsibility (AOR). Additionally, European Deterrence Initiative (EDI) support has increased due to Ukraine support realized driving an increase in takers for family separation allowances. This is a congressional special interest item. This is an emergency budget requirement. © $+23.0 million for basic pay","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"Operation and Maintenance","","","","2022","2022","01","Operating Forces","","DEFENSE-WIDE INCREASE
","22","22","01","9,567,032","Funds are required in SAG 1PLU Intelligence for a classified requirement and execution in the proper program. This reprogramming action does not alter congressional intent. This is a Military Intelligence Program project. This is a congressional special interest item. This is an emergency budget requirement.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"","","","Defense-Wide","2022","2044","02","Pay and Allowances of Enlisted","","ARMY DECREASES
","22","22","02","28,939,839","Funds are available in Enlisted Pay and Allowances based on a decrease of enlisted mobilizations over the initial projected amount due to ongoing requirements in the European Command (EUCOM) Area of Responsibility (AOR). Additionally, Active Component (AC) enlisted support has decreased driving a reduction in takers for family separation allowances and special pays. This is a congressional special interest item. This is emergency budget funding.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"Operation and Maintenance","","","","2022","2044","01","Operating Forces","","DEFENSE-WIDE DECREASE
","22","22","01","9,567,032","Funds are available from within the SAG 1PL7 Maintenance program and need to be realigned to the proper program to provide assistance to Ukraine. This reprogramming action does not alter congressional intent. This is a congressional special interest item. This is emergency budget funding.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"Procurement","","","Defense-Wide","2022","2022","01","Ammunition","","","146,825","22","24","146,825","Funds are required to be realigned within the Procurement of Ammunition, Army (PAA), 22/24, appropriation from the Artillery Propellants, Fuzes and Primers program to the Artillery Projectile, 155MM, All Types program for proper execution on the correct line in order to replace the defense articles provided to the Government of Ukraine. This is a congressional special interest item. This is an emergency budget requirement.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"Procurement","","","Army","2022","2044","01","Ammunition","","Unclassified REPROGRAMMING ACTION - INTERNAL REPROGRAMMING
","146,825","22","24","146,825","Funds are available for realignment from the Artillery Propellants, Fuzes and Primers program to Artillery Projectile, 155MM, All Types program where it was incorrectly aligned. Funding is required in the Artillery Projectile, 155MM, All Types program to properly replace the defense articles provided to the Government of Ukraine. This is a congressional special interest item. This is emergency budget funding.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"Procurement","","","","2022","2022","01","Ammunition","","ARMY INCREASE
","22","24","01","155","Funds are required to be realigned within the Procurement of Ammunition, Army (PAA), 22/24, appropriation from the Artillery Propellants, Fuzes and Primers program to the Artillery Projectile, 155MM, All Types program for proper execution on the correct line in order to replace the defense articles provided to the Government of Ukraine. This is a congressional special interest item. This is an emergency budget requirement.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"Procurement","","","Army","2022","2044","01","Ammunition","","ARMY DECREASE
","22","24","01","262,451","Funds are available for realignment from the Artillery Propellants, Fuzes and Primers program to Artillery Projectile, 155MM, All Types program because funding was incorrectly aligned to Artillery Propellants, Fuzes and Primers program. Funding is required on the Artillery Projectile, 155MM, All Types program to properly replace the defense articles provided to the Government of Ukraine. This is a congressional special interest item. This is emergency budget funding.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"","","","","2022","2044","01","Tactical and Support Vehicles","0604820A","ARMY INCREASES
","22","24","01","120,706","Funds are required to be realigned from the Integrated Air and Missile Defense (AMD) Battle Command System program to the HMMWV program for proper execution to provide assistance to Ukraine. This is a congressional special interest item. This is an emergency budget requirement.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"Operation and Maintenance","","","","2022","2044","01","Operating Forces","","The evolving nature of Ukraine support requirements resulted in increased mission tasking impacting the","162,500","22","22","162,500","Funds are required for the following efforts: $+58.178 million in Line Item 1A1A Mission and Other Flight Operations to align funding with projected costs to support congressional intent. $+31.700 million in Line Item 1A5A Aircraft Depot Maintenance to align funding with projected costs to support congressional intent. $+22.000 million in Line Item 1B4B Ship Maintenance to align funding with projected costs to support congressional intent. $+23.222 million in Line Item 1C1C Combat Communications and Electronic Warfare to align funding with projected costs to support congressional intent. $+2.400 million in Line Item 1CCY Cyberspace Activities to align funding with projected costs to support congressional intent.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"Operation and Maintenance","","","","2022","2022","01","Operating Forces","","","22","22","01","9,567,032","Funds are required in SAG 1PLU Intelligence for a classified requirement and execution in the proper program. This reprogramming action does not alter congressional intent. This is a Military Intelligence Program project. This is a congressional special interest item. This is an emergency budget requirement.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
"","","","Defense-Wide","2022","2044","02","Communications and Electronics Equipment","0605203A","ARMY DECREASES
","22","24","02","296,872","Funds are available within the IAMD Battle Command System program to be realigned for proper execution in support of a modemized Patriot Battery. This is a congressional special interest item. This is emergency budget funding.","22-44_IR_August_2022_Ukraine_Realignment_signed_20220919.pdf"
