"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2022","2019","04","Administration and Servicewide Activities","","DEFENSE-WIDE INCREASE
","22","23","04","9","Funds provided as part of the April 25, 2022, internal reprograming action FY 22-19 IR (Tranche #2) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item. This is emergency budget requirement.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","Defense-Wide","2022","2019","01","Operating Forces","","ARMY DECREASES
","22","22","01","39,541,940","Funds are available from the following efforts: eo $-35,301 million in Theater Level Assets from the April 25, 2022 internal reprograming action FY 22-19 IR (Tranche #2). Return of excess is due to decreased costs associated with the replacements of body armor and plates, helmet and body armor accessories, and optics and weapons accessories. oe $-0.003 million in Forces Operations Support from the April 25, 2022 internal reprograming action FY 22-19 IR (Tranche #2). Return of excess is due to less than expected costs for equipment accessories. © §$-0.879 million in Forces Readiness Operations Support from the April 25, 2022 internal reprograming action FY 22-19 IR (Tranche #2). Return of excess is due to decreased costs associated with the replacements of body armor and plates, helmet and body armor accessories, and optics and weapons accessories. These are congressional special interest items.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","","2022","2023","04","Administration and Servicewide Activities","","DEFENSE-WIDE INCREASE
","22","23","2","04","Funds provided as part of the May 17, 2022, internal reprograming action FY 22-23 IR (Tranche #3) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item. This is emergency budget requirement.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","Defense-Wide","2022","2023","01","Operating Forces","","ARMY DECREASES
","22","22","01","39,541,940","Funds are available in Theater Level Assets from the May 17, 2022, internal reprograming action FY 22-23 IR (Tranche #3) due to less than anticipated costs to augment the exchange of","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","","2022","2028","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","200","22","23","200","Funds provided as part of the June 16, 2022, internal reprograming action FY 22-28 IR (Tranche #4) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item, This is emergency budget requirement.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","Defense-Wide","2022","2028","01","Operating Forces","","ARMY DECREASE
","200","22","22","20","Funds are available in Theater Level Assets from the June 16, 2022, internal reprograming action FY 22-28 IR (Tranche #4) due to less than anticipated costs and requirements for vehicle repair parts. This is a congressional special interest item.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","Army","2022","2030","04","Administration and Servicewide Activities","","DEFENSE-WIDE INCREASE
","22","23","04","9,050,000","Funds provided as part of the July 13, 2022, internal reprograming action FY 22-30 IR (Tranche #5) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item. This is emergency budget requirement.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","Defense-Wide","2022","2030","01","Operating Forces","","ARMY DECREASES
","22","22","01","39,541,940","Funds are available in Theater Level Assets from the July 13, 2022, internal reprograming action FY 22-30 IR (Tranche #5) due to lower than anticipated Theater Support Operations in support of Ukraine efforts to counter Russian aggression. This is a congressional special interest item.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","","2022","2022","01","Operating Forces","","ARMY INCREASE
","22","22","240","4","Funds are required for Theater Level Assets pre-deployment operational costs of forces provided to support operations in the eastern European Theater. This is a congressional special interest item.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","Army","2022","2048","01","Operating Forces","","ARMY DECREASES
","22","22","01","39,541,940","Funds within the Operation and Maintenance, Army, 22/22, appropriation received in title III of the Ukraine Supplemental Appropriations Act, 2022 (division N of Public Law 117-103) are available for realignment from the following efforts: o $-0.250 million in Echelons Above Brigade due to lower than anticipated costs for transportation and Movement of Troops, Repair Parts for Non-Depot Repairs, Combat Vehicle Repair Parts for Depot Level Repairs, and Operation and Maintenance of Facilities. $-0.200 million in Force Readiness Operations Support due to lower than anticipated requirements in US Army Europe and Africa (USAREUR-AF) Equipment, Maintenance, Supplies to bolster Flying Hours Program within the Area of Responsibility (AOR). $-0.394 million in Land Forces Systems Readiness due to fewer than anticipated purchases for Commercial Satellite Air Time. © $-0.485 million in Cyber Activities - Cyberspace Operations due to lower than budgeted Temporary Duty Travel (TDY) in support of General Cyberspace Operations costs. These are congressional special interest items.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","","2022","2022","01","Operating Forces","","","164,632","22","22","164,632","Funds within the Operation and Maintenance, Army, 22/22, appropriation received in title II of the Additional Ukraine Supplemental Appropriations Act, 2022 (Public Law 117-128) are realigned for the following Ukraine efforts: © $+50.000 million for Maneuver Units to provide life support services in the eastern European Theater, supporting ongoing Contingency Operations. o $+30.000 million for Theater Level Assets to provide subsistence support for an increase in Class I requirements for personnel operating in the eastern European Theater. 0 $+44.319 million for Theater Level Assets for pre-deployment operational costs of forces provided to support operations in the eastern European Theater. ° $+40.313 million for Base Operations Support for the increased demand on installation services and contracts in support of the bases in the eastern European Theater. These are congressional special interest items.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
"Operation and Maintenance","","","","2022","2048","01","Operating Forces","","Yes
","164,632","22","22","164,632","Funds within the Operation and Maintenance, Army, 22/22, appropriation received in title II of the Additional Ukraine Supplemental Appropriations Act, 2022 (Public Law 117-128) are available for realignment from the following efforts: o $-0.403 million in Sustainment, Restoration, and Modernization due to lower than expected Real Property Maintenance contract costs. © $-0.016 million in Additional Activities due to reduced TDY costs. eo $-0.600 million in Reset due to lower than anticipated reset costs.","22-48_IR_Ukraine_Supplemental_Funding_Realignment_and_Drawdown_Funding_Return.pdf"
