"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2014","","","","Yes
","875","970","23","23","Funds are required for the reimbursement of defense services required to prepare various equipment for movement via air or sea transportation and the packaging and transportation of equipment transferred to Ukraine in support of the international effort to counter Russian aggression. This is a","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Operation and Maintenance","","","","2023","2014","04","Admin & Srvwd Activities","","Direct Support Munitions
","119,746","23","23","60,000","Funds are required for the reimbursement of defense services required to prepare various equipment for movement via air or sea transportation, and transportation of equipment transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Operation and Maintenance","","","","2023","2014","02","Mobilization","","LRASMO
","397,140","23","23","187,824","Funds are required for the following:","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Operation and Maintenance","","","","2023","2014","01","Operating Forces","","Funds are required for the retmbursement of defense services required to prepare various equipment for
movement via air or sea transportation and the packaging and transportation of equipment transferred to
","4,909","23","23","1,000","Funds are required for the procurement of replacement ordnance transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Operation and Maintenance","","","","2023","2014","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","1,397,765","22","23","1,397,765","Funds are available from the Operation and Maintenance, Defense-Wide, 22/23, approptiation for the replacement of defense articles from the stocks of the Department of Defense and for reimbursement for defense services of the Department of Defense and military education and training provided to the Government of Ukraine or to foreign countries that have provided support to Ukraine at the request of the United States. This is emergency budget funding.","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Missile Procurement","","","","2023","2014","02","Other Missiles","","High Mobility Artillery Rocket System (HIMARS)","1,488,233","23","25","606,701","Funds are required for the procurement of M-142 High Mobility Artillery Rocket Systems transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Procurement","","","","2023","2023","02","Procurement Ammunition, Marine Corps","","Infantry Weapons Ammunition
","23","25","02","0","Funds are required for the procurement of replacement infantry weapons ammunition transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Operation and Maintenance","","","Navy","2023","2014","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund","1,488,269","23","24","1,488,269","Funds are available from the Operation and Maintenance, Defense-Wide, 23/24, appropriation for the replacement of defense articles from the stocks of the Department of Defense and for reimbursement for defense services of the Department of Defense and military education and training provided to the Government of Ukraine or to foreign countries that have provided support to Ukraine at the request of the United States. This is emergency budget funding.","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Missile Procurement","","","","2023","2023","02","Other Missiles","","Classified Program","1,224,626","1,145,050","23","25","Funds are required for the procurement of replacement Javelin missiles transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
"Operation and Maintenance","","","","2023","2014","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund","1,224,626","23","24","1,224,626","Funds are available from the Operation and Maintenance, Defense-Wide, 23/24, appropriation for the replacement of defense articles from the stocks of the Department of Defense and for reimbursement for defense services of the Department of Defense and military education and training provided to the","23-14_IR_Ukraine_Replacement_Transfer_Fund_Tranche_10_Encl_2.pdf"
