"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2022","2015","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","22","23","04","3,500,000","Funds provided as part of the May 1, 2022, internal reprogramming action FY 22-15 IR (Tranche #1) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item. This is an emergency budget requirement.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Missile Procurement","","","Defense-Wide","2023","2023","02","Other Missiles","","PART Ul","22","24","02","1,467,830","Funds are available from the following: eo $-17.014 million is available because they are early to need as they cannot be executed in FY 2023. Replacement funding will be requested at a later date. This is Ukraine Tranche 1 funding. This is a congressional special interest item. This is emergency budget funding. $-6.817 million is available due to the requirement for replacement Javelin Lightweight Command Launch Units having been met. This is Ukraine Tranche 1 funding. This is a congressional special interest item. This is emergency budget funding.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Operation and Maintenance","","","Army","2023","2064","","","","Yes","141","5","3","7","Funds provided as part of the May 25, 2022, internal reprogramming action FY 22-19 IR (Tranche #2) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item. This is an emergency budget requirement.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Missile Procurement","","","Defense-Wide","2023","2023","02","Other Missiles","","Yes","22","24","02","1,467,830","Funds are available due to the requirement for replacement Javelin Lightweight Command Launch Units having been met. This is Ukraine Tranche 2 funding. This is a congressional special interest item. This is emergency budget funding.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Operation and Maintenance","","","","2022","2023","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","22","23","04","3,500,000","Funds provided as part of the May 25, 2022, internal reprogramming action FY 22-23 IR (Tranche #3) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item. This is an emergency budget requirement.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Missile Procurement","","","Defense-Wide","2023","2064","02","Other Missiles","","High Mobility Artillery Rocket System (HIMARS
557,851 557,851 -2,482 555,369

Explanation: Funds are available due to actual contract costs for the HIMARS launchers being less than the
estimated replacement cost. This is Ukraine Tranche 3 funding. This is Congressional special interest item.
This is emergency budget funding.

DD 1415-3 UNCLASSIFIED

--- Page 9 ---
Unclassified REPROGRAMMING ACTION - INTERNAL REPROGRAMMING Page 9 of 25
Appropriation Title: Various Appropriations FY 23-64 IR (R)","22","24","02","1,467,830","Funds are available due to actual contract costs for the Javelin missiles being less than the estimated replacement cost. This is Ukraine Tranche 3 funding. This is a congressional special interest item. This is emergency budget funding.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Operation and Maintenance","","","","2022","2028","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","22","23","04","3,500,000","Funds provided as part of the June 16, 2022, internal reprogramming action FY 22-28 IR (Tranche #4) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item. This is an emergency budget requirement.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Procurement","","","Defense-Wide","2023","2023","01","Ammunition","","Family Of Medium Tactical Veh (FMTV)","914","22","24","698","Funds are available due to the requirement for replacement artillery propellants, fuzes and primers having been met. This is Ukraine Tranche 4 funding. This is a Congressional special interest item. This is emergency budget funding.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Operation and Maintenance","","","","2022","2030","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","22","23","04","9,050,000","Funds provided as part of the July 13, 2022, internal reprogramming action FY 22-30 IR (Tranche #5) are transferred back to the Operation and Maintenance, Defense-Wide, 22/23, appropriation. This is a congressional special interest item. This is an emergency budget requirement.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
"Missile Procurement","","","Defense-Wide","2023","2064","02","Other Missiles","","High Mobility Artillery Rocket System (HIMARS
557,851 555,369 -1,229 554,140

Explanation: Funds are available due to the requirement for replacement HIMARS launchers having been
met. This is Ukraine Tranche 5 funding. This is a congressional special interest item. This is emergency
budget funding.

Procurement of Ammunition, Army, 22/24
Budget Activity 01: Ammunition
Artillery Propellants, Fuzes and Primers, All
939,811 935,882 931,016

DD 1415-3 UNCLASSIFIED

--- Page 12 ---
Unclassified REPROGRAMMING ACTION - INTERNAL REPROGRAMMING Page 12 of 25
Appropriation Title: Various Appropriations FY 23-64 IR (R)","22","24","02","1,467,830","Funds are available due to the requirement for replacement Javelin missiles having been met. This is Ukraine Tranche 5 funding. This is a congressional special interest item. This is emergency budget funding.","23-64_IR_(R)_August_Ukraine_Tranche_Return.pdf"
