"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2024","2011","01","Pay and Allowances of Officers","0603462A","Yes
","277","689","1,277,689","24","Funds are required based on an increase of approximately 400 projected officer mobilizations due to the ongoing emergent requirements for Department of Homeland Security (DHS) mission support along the SWB.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"Operation and Maintenance","","","","2024","2011","01","Operating Forces","","Yes
","853","352","76,352","24","Funds are required to restore resources used in support of SWB operations. Funds are required in Operational Forces for the United States Marine Corps (USMC) deployment in support of the Department of Homeland Security and U.S. Customs and Border Protection, by providing mission-enhancing capabilities to secure the border. Funds operational cost of deployed active-duty Marine units. Failure to resource this mission will negatively impact USMC ground readiness by deferring other operational requirements.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"Operation and Maintenance","","","","2024","2011","01","Operating Forces","0207110F","Niger requirement was adjusted
","4,065,069","747,080","24","24","Funds are required for the following: o §=$4254-877 $+151.030 million is for the required withdrawal of the U.S. forces and equipment from Niger attributable to revocation of the agreement allowing the U.S. to operate in Niger. These funds will support the airlift of equipment and personnel out of Air Base 101 in Niamey and Air Base 201 in Agadez. $+0.500 million to restore resources used in support of SWB operations. These funds are required to provide surge support of installation bed-down and transportation of personnel from the southwest border.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"Operation and Maintenance","","","","2024","2011","04","Administration and Servicewide Activities","0603766E","Defense Human Resource Activities","340","476","457,176","24","Funds are required for Defense Manpower Data Center Electronic Health Record to improve system availability of several critical identity and eligibility determination services to the Defense Health Agency and the U.S. Department of Veteran Affairs (VA). Current funding cannot deliver availability requirements to support patient care. This funding allows the Department of Defense (DoD) to begin infrastructure upgrades and increase operational staff to minimize system downtime and unplanned outages that negatively impact Service Member and Veteran care at DoD and VA medical facilities, including patient registration, pharmacy benefits, and eligibility services, as well as Federal ID Card issuance facilities.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"Operation and Maintenance","","","","2024","2024","01","Operating Forces","0601102A","ARMY DECREASES
","24","24","150,100","01","Funds are available due to the underexecution caused by limited obligation authority and increased operational demands causing deferred maintenance and delayed inventory replacement. These","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"","","","","2024","2024","05","Modification of aircraft","0603178N","Yes
","495.652","460,032","24","26","Funds are available due to contract savings for the Service Life Modification (SLM) contract.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"","","","","2024","2010","01","Pay and allowances of officers","0401221F","Yes
","146","678","930,930","24","Funds are available due to fewer members receiving Overseas Housing Allowance and Overseas Station Allowance than projected. Additionally, funds are available from the underexecution of officer retention bonuses due to the positive retention levels being experienced.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"Operation and Maintenance","","","","2024","2011","01","Operating Forces","0604130V","The Joint Staff
","369","333","277,747","24","Funds are available due to the following: o© $-6.766 million due to lower than forecasted operational needs in the Non-Conventional Assisted Recovery programs and lower than anticipated civilian fill rates. Funds are also available from the deferral of non-critical infrastructure projects, travel, and supply purchases.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"RDTE","","","","2023","2023","05","System Development & Demonstration","0605414N","NAVY INCREASE
","23","24","05","060","Funds are required for MQ-25 FY 2023 research and development efforts to continue activities under the Engineering and Manufacturing Development (EMD) program. Additional funding will support obsolescence redesign efforts required to deliver a useable end item for an air vehicle post EMD. Reprogrammed funding will be used to continue obsolescence redesign efforts and fund required MQ-25 GCS software integration efforts. This is a congressional special interest item.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"","","","Navy","2024","2011","","","0604201F","AIR FORCE INCREASES
","141","5","1","65","-","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"","","","","2024","2011","01","Major equipment","0303171K","Defense Information System Network","31,667","23,054","23","25","Funds are required to support Defense Red Switch Network (DRSN) IP Mobile Gateway Implementation. The proposed solution modernizes the mobile community’s access to the global terrestrial DRSN network by connecting mobile community voice switches to the DRSN Ground station infrastructure. Failure to fund allows continuation of a known capability gap.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"Missile Procurement","","","","2024","2011","01","Aircraft","0603807A","ARMY DECREASES
","23","25","01","02","Funds are available due to delays in the execution of Aviation Mission Common Server efforts that are delayed and will not be executed prior to Sep. 30, 2024.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"Procurement","","","","2025","2025","04","Other aircraft","","NAVY DECREASE
","23","25","04","25","Funds are available due to reduction in quantities in FY 2025, which eliminated advanced procurement requirements.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"","","","Navy","2023","2023","05","Modification of Inservice Aircraft","","SAC-D Denied
","338","445","41,500","23","Funds are available and excess to need from the F-16 Integrated Viper Electronic Warfare Suite IVEWS) production program. The Air Force does not plan to initiate production for the program. The IVEWS development program has been revised to a minimum viable product approach. Funds are being realigned within this reprogramming request from the Aircraft Procurement, Air Force 23/25 appropriation, F-16 line item, to the Research, Development, Test and Evaluation, Air Force 23/24 appropriation, F-16 Squadrons line item, to complete the [VEWS Operational Assessment and Middle Tier Acquisition Rapid Prototyping effort.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"","","","","2024","2011","01","Major equipment","0305208K","DEFENSE-WIDE DECREASES -
","23","25","01","15,364","Funds are available from the Information Systems Strategic Plan (ISSP) due to the protection of information systems from unauthorized access requiring less modification than planned. There are no negative impacts to this program.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"Procurement","","","","2023","2023","01","Major Equipment","","DEFENSE-WIDE INCREASE
","23","25","01","4","Funds are required to procure communication security (COMSEC) equipment to maintain COMSEC inventory in accordance with Committee on National Security Systems (CNSS) Instruction No. 4007. The Multi-Service COMSEC Working Group and U.S. Civil Agencies shall identify equipment to be considered for procurement during the program build and validation process. Items to be procured are acceptable substitute items used against the same inventory objective or authorized acquisition objective in requirement computations.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
"","","","Defense-Wide","","","01","Major Equipment","","DEFENSE-WIDE DECREASE
","23","25","4,049","01","Funds are available from the sale to foreign partners of 1 KOV-21 with transactions occurring between October 2022 and September 2023.","24-11_PA_Omnibus_Fina_signed_20240628_Implemented.pdf"
