"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2024","2012","04","Administration and Service-Wide Activities","","Yes
","1,340","24","24","1,340","Funds are required for classified effort. Additional classified details will be provided under i separate cover. This is a-MIP PROJECT.","24-12_PA_MIP_Omnibus.pdf"
"Operation and Maintenance","","","Army","2024","2012","01","Operating Forces","0605117F","SBIR High (Space)","13","038","111,790","24","Funds are required for classified effort. Additional classified details will be provided under separate cover. This isa MIP PROJECT.","24-12_PA_MIP_Omnibus.pdf"
"Operation and Maintenance","","","","2024","2012","01","Operating Forces","","DEFENSE-WIDE INCREASE
","24","24","01","1,512,617","Funds are required for classified efforts. Additional classified details will be provided under separate cover. These are MIP PROJECTS.","24-12_PA_MIP_Omnibus.pdf"
"Operation and Maintenance","","","","2024","2024","01","Operating Forces","","Yes
","439.236","113,990","24","24","Funds are available due to excess to need for the RQ-4 Global Hawk. Funding for FY 2024 Sustaining Engineering (SE) and Diminishing Manufacturing Sources (DMS) contracts was over-calculated. Future funding has been adjusted to accurately reflect the support needed. This is a MIP PROJECT.","24-12_PA_MIP_Omnibus.pdf"
"Operation and Maintenance","","","","2024","2012","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASES
","24","24","04","1,014,633","Funds are available from a classified effort. Additional classified details will be provided under separate cover. This is a MIP PROJECT.","24-12_PA_MIP_Omnibus.pdf"
"RDTE","","","","2023","2023","05","System Development & Demonstration","0605414N","NAVY INCREASE
","23","24","05","060","Funds are required for FY 2023 MQ-25 RDT&E to continue activities under the Engineering and Manufacturing Development (EMD) program. Additional RDT&E funding will support obsolescence redesign efforts required to deliver a useable end item for an air vehicle post EMD. Reprogrammed funding will be used to continue obsolescence redesign efforts and fund required MQ-25 Ground Control Station software integration efforts. This is a congressional special interest item.","24-12_PA_MIP_Omnibus.pdf"
"","","","Navy","2024","2024","05","Modification of Inservice Aircraft","0305240F","AIR FORCE INCREASES
","23","25","05","135","Funds are required for non-recurring engineering (NRE) to address aircraft Mission Design Series (MDS) differences between the test aircraft configuration and production RC-135 aircraft MDS for the congressionally mandated M-Code GPS modification and the corresponding navigation equipment diminishing manufacturing sources and material shortages modification. The modification is required for the RC-135 reconnaissance aircraft fleet to be compliant with crypto mandates and receipt of funding in FY 2024 supports completion of the modification during Programmed Depot Maintenance. This is a MIP PROJECT.","24-12_PA_MIP_Omnibus.pdf"
"RDTE","","","","2024","2024","07","Operational system development","0305231N","NAVY DECREASE
","23","24","07","030","Funds are available due to the divestment of all MQ-8C platforms. The Navy will end operational deployments by the end of FY 2024 and complete sundown by the end of FY 2026. This is a MIP PROJECT. This is a congressional special interest item.","24-12_PA_MIP_Omnibus.pdf"
"","","","Navy","2024","2012","07","Aircraft Supt Equipment & Facilities","0305220F","AIR FORCE DECREASES
","23","25","07","4","Funds are available because they are excess to need for the RQ-4 Global Hawk postproduction support effort due to negotiated savings realized during production line shutdown. There are no additional program requirements for the funding at this time and there is no impact to the program. This is a MIP PROJECT.","24-12_PA_MIP_Omnibus.pdf"
"","","","","2024","2024","02","Vehicular Equipment","","AIR FORCE INCREASE
","22","24","02","50,407","Funds are required to purchase seven (7) Level 1 Armored Vehicles due to life and safety issues. The current High Mobility Multipurpose Wheeled Vehicle (HMMWV) is not suitable for the terrain and missile field security mission which increases rollover risk. Air Force Global Strike Command is replacing the HMMWV with a mix of Joint light Tactical Vehicles and Level 1 Armored Vehicles. The Level 1 Armored Vehicles will perform routine patrols for missile fields and are more maneuverable and suitable to the terrain.","24-12_PA_MIP_Omnibus.pdf"
"","","","Air Force","","","05","Modification of Inservice Aircraft","","AIR FORCE DECREASE
","22","24","05","9","Funds are available because they are excess to need due to the termination of the Gorgon Stare program. There are no other known requirements for the funding at this time and no impact to the program. These funds are not related to the $14.400 million congressional increase for Gorgon Stare operations loss replacement. This is a congressional special interest item. This isa MIP PROJECT.","24-12_PA_MIP_Omnibus.pdf"
