"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Procurement","","","","","","01","Tactical and support vehicles","","ARMY INCREASE
","23","25","01","211,378","Funds are required for the procurement of Low Velocity Air Drop (LVAD) as the current Amny replacement for MaxxPro vehicles provided to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","Army","2025","2019","02","Ammunition, Marine Corps","","Direct Support Munitions
","54,162","23","25","54,162","Funds are required for the procurement of replacement Rocket, 66mm Anti-Structure M72 LAW (light anti-tank weapon) provided to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","","","","04","Support equipment and facilities","","ARMY DECREASES
","23","25","04","2.75","Funds are available and excess from Ukraine Replacement Tranche #15 due to post award contract savings. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","","2025","2019","02","Ammunition, Marine Corps","","Artillery Munitions
","54,162","23","25","54,162","Funds are available and excess from Ukraine Replacement Tranche #11, Ukraine Replacement Tranche #15, and Ukraine Replacement Tranche #18 due to quantity and unit cost adjustments resulting from economies of scale. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","Navy","2023","2023","01","Tactical and support vehicles","","ARMY INCREASE
","23","25","01","211,378","Funds are required for the procurement of Low Velocity Air Drop (LVAD) as the current","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","Army","2025","2019","01","Tracked combat vehicles","","ARMY DECREASE
","23","25","01","853,082","Funds are available and excess from Ukraine Replacement Tranche #10 due to post award contract savings. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","Army","","","01","Tactical and support vehicles","","ARMY INCREASES
","23","25","01","44,316","Funds are required for the procurement of Infantry Squad Vehicles (ISVs) as the current Army replacement for High Mobility Multipurpose Wheeled Vehicle (HMMWV) provided to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","Army","2023","2023","02","Ammunition, Marine Corps","","Direct Support Munitions
","11,163","23","25","11,163","Funds are required for the procurement of replacement 40mm high-explosive dual purpose (HEDP) M433 cartridges provided to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","Navy","2025","2019","","","","ARMY DECREASES
","141","5","1","7","Funds are available and excess from Ukraine Replacement Tranche #12 due to post award contract savings. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
"Procurement","","","","","","02","Ammunition, Marine Corps","","Artillery Munitions","11,163","23","25","11,163","Funds are available and excess from Ukraine Replacement Tranche #9 due to quantity and unit cost adjustments resulting from economies of scale. This is a congressional special interest item. This is an emergency budget requirement.","25-19_PA_August_Ukraine_Realignment_2.pdf"
